site,logger,x,y,z
1,10859623,6.6,5.5,1.8
1,10859622,3.6,5,2.1
1,10859621,4.7,5,1.8
2,10859604,3.5,3,1.6
5,10859624,1.9,2,1.4
6,10859615,1.7,1.8,1.1
