"","site","size","error"
"1",1,7.54937116666667,0.368698380889363
"2",2,4.74029227773333,0.219217967135838
"3",3,4.22539333326667,0.246910495343404
"4",4,2.53166861106667,0.15321283483675
"5",5,1.13101055556667,0.0834518753995668
"6",6,1.256628,0.0507734611187939
