Plot Title: 10859622					
#	"Date Time, GMT-07:00"	"Temp, °C (LGR S/N: 10859622, SEN S/N: 10836748)"	"Temp, °C (LGR S/N: 10859622, SEN S/N: 10868948)"	"Water Content, m³/m³ (LGR S/N: 10859622, SEN S/N: 10880702)"	"Water Content, m³/m³ (LGR S/N: 10859622, SEN S/N: 10880703)"
1	5/21/2016 14:00	28.196	35.529	0.0405	0.0405
2	5/21/2016 15:00	31.74	34.255	0.0442	0.0392
3	5/21/2016 16:00	26.378	36.146	0.0421	0.0401
4	5/21/2016 17:00	22.011	23.184	0.0371	0.031
5	5/21/2016 18:00	17.701	17.915	0.0306	0.0261
6	5/21/2016 19:00	16.963	17.439	0.0288	0.0228
7	5/21/2016 20:00	11.589	12.122	0.0238	0.02
8	5/21/2016 21:00	9.287	10.026	0.0214	0.0176
9	5/21/2016 22:00	7.419	7.67	0.019	0.0152
10	5/21/2016 23:00	7.67	7.87	0.0186	0.0147
11	5/22/2016 0:00	5.719	6.636	0.0166	0.0127
12	5/22/2016 1:00	8.195	8.792	0.0186	0.0137
13	5/22/2016 2:00	8.369	8.941	0.0186	0.0137
14	5/22/2016 3:00	8.12	8.693	0.0186	0.0127
15	5/22/2016 4:00	9.064	9.485	0.0186	0.0137
16	5/22/2016 5:00	8.593	9.089	0.0186	0.0137
17	5/22/2016 6:00	5.693	6.636	0.0166	0.0122
18	5/22/2016 7:00	8.693	7.343	0.0186	0.0112
19	5/22/2016 8:00	15.008	13.882	0.0283	0.0161
20	5/22/2016 9:00	19.793	19.841	0.0332	0.0214
21	5/22/2016 10:00	22.729	26.646	0.0354	0.0261
22	5/22/2016 11:00	27.825	31.637	0.0405	0.0306
23	5/22/2016 12:00	30.167	33.339	0.0421	0.0332
24	5/22/2016 13:00	31.561	37.37	0.0434	0.0354
25	5/22/2016 14:00	34.836	36.227	0.0434	0.0375
26	5/22/2016 15:00	31.459	37.563	0.0442	0.0375
27	5/22/2016 16:00	29.49	38.004	0.0434	0.0384
28	5/22/2016 17:00	25.04	27.038	0.0421	0.0341
29	5/22/2016 18:00	21.676	24.605	0.0375	0.0297
30	5/22/2016 19:00	16.415	17.819	0.0288	0.0247
31	5/22/2016 20:00	14.098	14.84	0.0252	0.0214
32	5/22/2016 21:00	12.268	13.377	0.0228	0.019
33	5/22/2016 22:00	9.756	11.2	0.0205	0.0176
34	5/22/2016 23:00	8.643	9.854	0.019	0.0161
35	5/23/2016 0:00	3.67	6.889	0.0166	0.0137
36	5/23/2016 1:00	4.22	6.153	0.0152	0.0122
37	5/23/2016 2:00	4.48	5.975	0.0152	0.0112
38	5/23/2016 3:00	7.444	8.245	0.0166	0.0122
39	5/23/2016 4:00	6.737	8.618	0.0166	0.0127
40	5/23/2016 5:00	7.845	9.163	0.0176	0.0122
41	5/23/2016 6:00	8.717	10.124	0.0186	0.0127
42	5/23/2016 7:00	13.57	13.137	0.0238	0.0137
43	5/23/2016 8:00	19.603	19.222	0.0306	0.0176
44	5/23/2016 9:00	22.561	20.174	0.035	0.0205
45	5/23/2016 10:00	27.751	26.72	0.0392	0.0252
46	5/23/2016 11:00	31.408	34.334	0.0413	0.0297
47	5/23/2016 12:00	33.469	38.06	0.0434	0.0332
48	5/23/2016 13:00	33.521	40.343	0.0442	0.0371
49	5/23/2016 14:00	34.73	37.425	0.0446	0.0384
50	5/23/2016 15:00	34.73	39.886	0.0454	0.0392
51	5/23/2016 16:00	32.407	37.7	0.0446	0.0392
52	5/23/2016 17:00	22.8	25.04	0.0363	0.0306
53	5/23/2016 18:00	20.103	22.705	0.0328	0.0283
54	5/23/2016 19:00	18.176	19.056	0.0306	0.0247
55	5/23/2016 20:00	13.786	15.175	0.0261	0.0214
56	5/23/2016 21:00	10.858	12.606	0.0224	0.019
57	5/23/2016 22:00	10.614	12.147	0.0214	0.0176
58	5/23/2016 23:00	11.321	13.257	0.0214	0.0176
59	5/24/2016 0:00	9.829	12.171	0.0205	0.0161
60	5/24/2016 1:00	8.792	11.078	0.02	0.0152
61	5/24/2016 2:00	6.281	9.485	0.0176	0.0137
62	5/24/2016 3:00	5.205	7.82	0.0161	0.0122
63	5/24/2016 4:00	7.419	9.509	0.0176	0.0127
64	5/24/2016 5:00	7.995	10.026	0.0176	0.0127
65	5/24/2016 6:00	6.585	8.369	0.0166	0.0122
66	5/24/2016 7:00	13.425	12.122	0.0238	0.0137
67	5/24/2016 8:00	17.368	16.582	0.027	0.0161
68	5/24/2016 9:00	24.557	20.793	0.0363	0.0205
69	5/24/2016 10:00	28.072	28.642	0.0401	0.0261
70	5/24/2016 11:00	33.105	37.069	0.0421	0.0319
71	5/24/2016 12:00	24.388	26.378	0.0375	0.0283
72	5/24/2016 13:00	26.012	27.431	0.0392	0.0297
73	5/24/2016 14:00	26.085	26.207	0.0371	0.0283
74	5/24/2016 15:00	30.369	34.651	0.0425	0.0341
75	5/24/2016 16:00	22.585	23.617	0.035	0.027
76	5/24/2016 17:00	25.623	25.793	0.0392	0.0274
77	5/24/2016 18:00	20.817	21.127	0.0328	0.0247
78	5/24/2016 19:00	17.034	17.962	0.0288	0.0224
79	5/24/2016 20:00	14.457	15.461	0.0252	0.02
80	5/24/2016 21:00	12.751	13.834	0.0238	0.0186
81	5/24/2016 22:00	11.589	13.329	0.0224	0.0176
82	5/24/2016 23:00	10.541	12.268	0.0214	0.0166
83	5/25/2016 0:00	10.81	12.582	0.0214	0.0166
