Plot Title: 10859612					
#	"Date Time, GMT-05:00"	"Temp, °C (LGR S/N: 10859612, SEN S/N: 10981828)"	"Temp, °C (LGR S/N: 10859612, SEN S/N: 10981830)"	"Water Content, m³/m³ (LGR S/N: 10859612, SEN S/N: 11001911)"	"Water Content, m³/m³ (LGR S/N: 10859612, SEN S/N: 11001913)"
1	2/10/2017 9:00	14.673	15.008	-0.1517	-0.2156
2	2/10/2017 10:00	14.481	14.792	-0.1517	-0.2156
3	2/10/2017 11:00	16.249	15.652	-0.1441	-0.2169
4	2/10/2017 12:00	18.414	17.891	-0.1379	-0.221
5	2/10/2017 13:00	19.722	19.294	-0.1358	-0.2183
6	2/10/2017 14:00	16.32	16.773	-0.0814	-0.1075
7	2/10/2017 15:00	11.321	11.662	0.2347	0.2012
8	2/10/2017 16:00	11.492	11.71	0.2449	0.202
9	2/10/2017 17:00	11.127	11.637	0.252	0.2126
10	2/10/2017 18:00	10.663	10.932	0.2546	0.21
11	2/10/2017 19:00	10.296	10.516	0.255	0.2109
12	2/10/2017 20:00	10.369	10.516	0.2505	0.202
13	2/10/2017 21:00	10.124	10.247	0.2468	0.1923
14	2/10/2017 22:00	9.805	9.805	0.2437	0.1853
15	2/10/2017 23:00	9.977	10.173	0.241	0.1765
16	2/11/2017 0:00	9.952	10.001	0.2406	0.1724
17	2/11/2017 1:00	10.051	10.1	0.2421	0.1695
18	2/11/2017 2:00	10.271	10.026	0.2487	0.1714
19	2/11/2017 3:00	9.928	9.558	0.2646	0.1932
20	2/11/2017 4:00	9.41	8.891	0.2773	0.2117
21	2/11/2017 5:00	9.139	8.519	0.2715	0.2047
22	2/11/2017 6:00	8.767	8.195	0.265	0.1963
23	2/11/2017 7:00	8.145	7.745	0.26	0.1891
24	2/11/2017 8:00	8.145	7.368	0.2567	0.184
25	2/11/2017 9:00	7.695	7.091	0.2546	0.1797
26	2/11/2017 10:00	7.945	7.142	0.2528	0.1762
27	2/11/2017 11:00	8.593	7.444	0.2509	0.1728
28	2/11/2017 12:00	10.59	8.99	0.2487	0.1695
29	2/11/2017 13:00	13.618	11.443	0.2468	0.1656
30	2/11/2017 14:00	14.026	11.88	0.2445	0.1619
31	2/11/2017 15:00	18.937	13.93	0.2421	0.157
32	2/11/2017 16:00	21.652	16.177	0.2399	0.1542
33	2/11/2017 17:00	20.198	13.762	0.2383	0.1514
34	2/11/2017 18:00	12.582	9.238	0.2387	0.1499
35	2/11/2017 19:00	9.163	6.99	0.2406	0.149
36	2/11/2017 20:00	7.895	6.382	0.2425	0.1484
37	2/11/2017 21:00	7.142	6.051	0.2456	0.1484
38	2/11/2017 22:00	6.99	5.719	0.2464	0.1479
39	2/11/2017 23:00	7.041	5.821	0.2456	0.1475
40	2/12/2017 0:00	6.99	5.693	0.2449	0.147
41	2/12/2017 1:00	6.763	5.924	0.2437	0.1459
42	2/12/2017 2:00	6.179	4.921	0.243	0.1459
43	2/12/2017 3:00	6.636	5.668	0.2425	0.145
44	2/12/2017 4:00	6.712	5.591	0.2418	0.1446
45	2/12/2017 5:00	6.763	5.745	0.2414	0.1441
46	2/12/2017 6:00	6.433	5.745	0.241	0.143
47	2/12/2017 7:00	3.38	1.67	0.241	0.1434
48	2/12/2017 8:00	2.61	2.209	0.2414	0.1434
49	2/12/2017 9:00	1.071	-0.339	0.2414	0.1434
50	2/12/2017 10:00	1.208	0.079	0.2414	0.1434
51	2/12/2017 11:00	9.682	6.94	0.2394	0.1405
52	2/12/2017 12:00	18.866	13.233	0.2358	0.1375
53	2/12/2017 13:00	26.158	17.796	0.2335	0.1352
54	2/12/2017 14:00	33.495	21.485	0.2318	0.1321
55	2/12/2017 15:00	31.842	21.748	0.2306	0.1297
56	2/12/2017 16:00	34.334	23.905	0.2286	0.1271
57	2/12/2017 17:00	31.637	22.417	0.2282	0.1251
58	2/12/2017 18:00	28.171	21.223	0.2274	0.1242
59	2/12/2017 19:00	21.628	17.439	0.2269	0.1237
60	2/12/2017 20:00	12.775	13.329	0.2282	0.1242
61	2/12/2017 21:00	7.318	5.334	0.2291	0.1246
62	2/12/2017 22:00	6.026	5.205	0.2294	0.1246
63	2/12/2017 23:00	4.584	3.009	0.2299	0.1251
64	2/13/2017 0:00	3.67	2.021	0.2303	0.1256
65	2/13/2017 1:00	3.221	2.797	0.2306	0.1256
66	2/13/2017 2:00	3.089	2.93	0.2306	0.1256
67	2/13/2017 3:00	2.69	2.262	0.2311	0.1261
68	2/13/2017 4:00	1.886	1.561	0.2311	0.1266
69	2/13/2017 5:00	2.021	2.021	0.2311	0.1266
70	2/13/2017 6:00	2.074	2.021	0.2315	0.1266
71	2/13/2017 7:00	1.886	1.886	0.2311	0.1266
72	2/13/2017 8:00	1.67	1.697	0.2311	0.1266
73	2/13/2017 9:00	1.18	1.18	0.2311	0.1266
74	2/13/2017 10:00	1.724	1.859	0.2306	0.1266
75	2/13/2017 11:00	8.07	7.995	0.2286	0.1251
76	2/13/2017 12:00	19.318	14.266	0.2257	0.1229
77	2/13/2017 13:00	27.235	20.198	0.2229	0.1209
78	2/13/2017 14:00	38.784	26.646	0.2203	0.1199
79	2/13/2017 15:00	34.969	26.182	0.2198	0.1174
80	2/13/2017 16:00	36.661	27.998	0.2182	0.1159
81	2/13/2017 17:00	35.609	27.801	0.2169	0.1133
82	2/13/2017 18:00	32.639	26.061	0.2164	0.1117
83	2/13/2017 19:00	26.5	24.026	0.2156	0.1107
84	2/13/2017 20:00	16.344	18.295	0.2169	0.1112
85	2/13/2017 21:00	9.089	7.745	0.2182	0.1112
86	2/13/2017 22:00	7.192	6.331	0.2182	0.1117
87	2/13/2017 23:00	7.469	8.045	0.2185	0.1128
88	2/14/2017 0:00	7.645	8.369	0.2182	0.1128
89	2/14/2017 1:00	7.116	7.72	0.2185	0.1133
90	2/14/2017 2:00	6.433	6.737	0.2185	0.1133
91	2/14/2017 3:00	5.488	6.23	0.219	0.1133
92	2/14/2017 4:00	5.949	6.357	0.2185	0.1138
93	2/14/2017 5:00	6.433	6.914	0.2185	0.1138
94	2/14/2017 6:00	5.796	5.821	0.219	0.1138
95	2/14/2017 7:00	4.662	4.818	0.219	0.1143
96	2/14/2017 8:00	3.696	4.402	0.2195	0.1143
97	2/14/2017 9:00	2.047	1.126	0.2195	0.1148
98	2/14/2017 10:00	2.182	2.503	0.2198	0.1148
99	2/14/2017 11:00	9.213	9.336	0.2177	0.1138
100	2/14/2017 12:00	22.489	18.057	0.2156	0.1128
101	2/14/2017 13:00	35.102	23.376	0.2117	0.1122
102	2/14/2017 14:00	38.282	26.549	0.2104	0.1112
103	2/14/2017 15:00	40.631	28.816	0.2095	0.1096
104	2/14/2017 16:00	38.421	26.012	0.2095	0.108
105	2/14/2017 17:00	36.878	26.72	0.2092	0.1053
106	2/14/2017 18:00	33.652	26.085	0.2087	0.1025
107	2/14/2017 19:00	28.023	22.92	0.2087	0.1025
108	2/14/2017 20:00	16.225	19.508	0.2095	0.1025
109	2/14/2017 21:00	9.435	6.965	0.2112	0.1025
110	2/14/2017 22:00	8.195	8.245	0.2117	0.1031
111	2/14/2017 23:00	6.788	6.179	0.2122	0.1042
112	2/15/2017 0:00	6.179	5.872	0.2126	0.1047
113	2/15/2017 1:00	5.796	6.128	0.2131	0.1047
114	2/15/2017 2:00	5.231	5.821	0.2131	0.1053
115	2/15/2017 3:00	4.844	5.36	0.2134	0.1058
116	2/15/2017 4:00	4.558	5.024	0.2134	0.1058
117	2/15/2017 5:00	4.74	5.308	0.2134	0.1058
118	2/15/2017 6:00	4.61	5.257	0.2131	0.1064
119	2/15/2017 7:00	4.766	5.36	0.2134	0.1069
120	2/15/2017 8:00	4.402	5.179	0.2131	0.1064
121	2/15/2017 9:00	4.037	4.844	0.2131	0.1064
122	2/15/2017 10:00	3.354	4.194	0.2134	0.1069
123	2/15/2017 11:00	11.248	11.516	0.2117	0.1069
124	2/15/2017 12:00	22.609	17.962	0.2083	0.1058
125	2/15/2017 13:00	27.431	22.441	0.2064	0.1047
126	2/15/2017 14:00	35.877	29.916	0.2035	0.1047
127	2/15/2017 15:00	41.795	29.89	0.202	0.1036
128	2/15/2017 16:00	42.505	32.613	0.2017	0.1014
129	2/15/2017 17:00	39.431	32.587	0.202	0.0986
130	2/15/2017 18:00	24.605	22.753	0.2038	0.0955
131	2/15/2017 19:00	21.294	20.722	0.2035	0.0943
132	2/15/2017 20:00	16.939	22.561	0.2029	0.0937
133	2/15/2017 21:00	10.173	10.296	0.2052	0.0932
134	2/15/2017 22:00	9.04	9.583	0.2052	0.0937
135	2/15/2017 23:00	7.419	7.066	0.2061	0.0937
136	2/16/2017 0:00	7.995	8.767	0.2061	0.0943
137	2/16/2017 1:00	6.864	7.066	0.2061	0.0943
138	2/16/2017 2:00	7.242	8.095	0.2061	0.0949
139	2/16/2017 3:00	7.343	8.469	0.2061	0.0943
140	2/16/2017 4:00	7.041	7.845	0.2061	0.0949
141	2/16/2017 5:00	7.845	9.089	0.2056	0.0949
142	2/16/2017 6:00	6.281	7.318	0.2061	0.0955
143	2/16/2017 7:00	7.72	8.866	0.2061	0.0949
144	2/16/2017 8:00	7.015	8.245	0.2061	0.0949
145	2/16/2017 9:00	6.636	7.82	0.2061	0.0949
146	2/16/2017 10:00	8.27	9.509	0.2056	0.0955
147	2/16/2017 11:00	15.366	15.676	0.2038	0.0949
148	2/16/2017 12:00	17.082	12.992	0.2029	0.0949
149	2/16/2017 13:00	17.011	15.819	0.2017	0.0943
150	2/16/2017 14:00	13.088	11.297	0.2029	0.0926
151	2/16/2017 15:00	12.968	12.485	0.2029	0.092
152	2/16/2017 16:00	11.929	11.759	0.2056	0.0932
153	2/16/2017 17:00	14.816	14.218	0.2029	0.0932
154	2/16/2017 18:00	13.57	12.847	0.2035	0.0926
155	2/16/2017 19:00	11.929	10.907	0.2064	0.0937
156	2/16/2017 20:00	9.386	8.99	0.21	0.0949
157	2/16/2017 21:00	8.99	8.916	0.2092	0.0955
158	2/16/2017 22:00	9.139	8.693	0.2095	0.0961
159	2/16/2017 23:00	8.693	8.494	0.2117	0.0969
160	2/17/2017 0:00	8.841	8.693	0.2161	0.1003
161	2/17/2017 1:00	8.344	8.27	0.2237	0.108
162	2/17/2017 2:00	8.344	8.195	0.2315	0.1209
163	2/17/2017 3:00	8.195	8.07	0.233	0.1246
164	2/17/2017 4:00	8.717	8.519	0.2323	0.1246
165	2/17/2017 5:00	8.519	8.519	0.2311	0.1246
166	2/17/2017 6:00	8.767	8.618	0.233	0.1271
167	2/17/2017 7:00	7.066	6.763	0.2347	0.1312
168	2/17/2017 8:00	6.331	6.484	0.2344	0.1317
169	2/17/2017 9:00	5.616	5.668	0.2434	0.1547
170	2/17/2017 10:00	5.668	5.668	0.2516	0.1849
171	2/17/2017 11:00	6.484	6.306	0.2592	0.2169
172	2/17/2017 12:00	7.494	7.167	0.2673	0.2291
173	2/17/2017 13:00	7.519	7.343	0.2987	0.2987
174	2/17/2017 14:00	7.67	7.594	0.324	0.3128
175	2/17/2017 15:00	7.619	7.544	0.3909	0.3326
176	2/17/2017 16:00	8.095	8.17	0.3964	0.3343
177	2/17/2017 17:00	8.369	8.344	0.36	0.2994
178	2/17/2017 18:00	8.245	8.295	0.3804	0.3001
179	2/17/2017 19:00	7.142	6.965	0.3317	0.2786
180	2/17/2017 20:00	7.142	7.116	0.3178	0.2582
181	2/17/2017 21:00	7.242	7.293	0.3125	0.2494
182	2/17/2017 22:00	7.268	7.192	0.3092	0.2437
183	2/17/2017 23:00	6.94	6.889	0.308	0.2421
184	2/18/2017 0:00	6.484	6.255	0.3051	0.2374
185	2/18/2017 1:00	6.179	6.051	0.3015	0.2306
186	2/18/2017 2:00	5.514	5.719	0.2987	0.2249
187	2/18/2017 3:00	5.128	5.231	0.2955	0.2195
188	2/18/2017 4:00	5.719	5.514	0.2942	0.2174
189	2/18/2017 5:00	4.869	4.298	0.2932	0.2153
190	2/18/2017 6:00	5.102	4.973	0.2922	0.2131
191	2/18/2017 7:00	4.688	4.688	0.2904	0.2104
192	2/18/2017 8:00	4.063	3.932	0.2887	0.2078
193	2/18/2017 9:00	3.433	3.116	0.2874	0.2056
194	2/18/2017 10:00	3.512	4.037	0.2861	0.2035
195	2/18/2017 11:00	12.34	10.271	0.284	0.1981
196	2/18/2017 12:00	16.868	13.882	0.2827	0.1954
197	2/18/2017 13:00	15.39	13.714	0.2813	0.1926
198	2/18/2017 14:00	22.417	19.032	0.28	0.1891
199	2/18/2017 15:00	16.082	12.243	0.2824	0.1895
200	2/18/2017 16:00	22.824	16.987	0.2821	0.1872
201	2/18/2017 17:00	21.604	16.034	0.2806	0.1849
202	2/18/2017 18:00	18.485	13.858	0.2793	0.1836
203	2/18/2017 19:00	22.25	19.555	0.2783	0.1826
204	2/18/2017 20:00	11.443	9.015	0.279	0.1826
205	2/18/2017 21:00	9.485	7.97	0.2786	0.1813
206	2/18/2017 22:00	8.643	7.645	0.278	0.1789
207	2/18/2017 23:00	8.543	7.544	0.2773	0.1783
208	2/19/2017 0:00	8.22	7.217	0.277	0.1779
209	2/19/2017 1:00	8.045	7.015	0.2766	0.1762
210	2/19/2017 2:00	7.895	6.864	0.2763	0.1762
211	2/19/2017 3:00	7.619	6.458	0.2776	0.1765
212	2/19/2017 4:00	7.217	6.408	0.2776	0.1762
213	2/19/2017 5:00	7.318	6.102	0.277	0.1762
214	2/19/2017 6:00	7.192	5.949	0.2773	0.1762
215	2/19/2017 7:00	6.763	5.231	0.2776	0.1762
216	2/19/2017 8:00	6.509	4.973	0.2773	0.1765
217	2/19/2017 9:00	6.382	5.024	0.277	0.1756
218	2/19/2017 10:00	6.712	5.308	0.2766	0.1762
219	2/19/2017 11:00	9.089	7.469	0.2756	0.1756
220	2/19/2017 12:00	22.561	12.751	0.2739	0.1703
221	2/19/2017 13:00	24.195	16.582	0.2726	0.1671
222	2/19/2017 14:00	29.765	21.915	0.2708	0.1629
223	2/19/2017 15:00	36.851	24.919	0.2691	0.1596
224	2/19/2017 16:00	33.027	23.905	0.2694	0.159
225	2/19/2017 17:00	20.484	14.673	0.2694	0.159
226	2/19/2017 18:00	15.605	12.243	0.2694	0.16
227	2/19/2017 19:00	13.305	10.369	0.2701	0.1608
228	2/19/2017 20:00	11.37	9.089	0.2743	0.1623
229	2/19/2017 21:00	10.565	8.916	0.2763	0.1663
230	2/19/2017 22:00	10.075	8.767	0.281	0.1756
231	2/19/2017 23:00	9.608	9.064	0.2803	0.1816
232	2/20/2017 0:00	9.312	9.04	0.2871	0.2126
233	2/20/2017 1:00	9.188	8.99	0.2881	0.2211
234	2/20/2017 2:00	9.435	9.46	0.285	0.2148
235	2/20/2017 3:00	9.361	9.262	0.284	0.21
236	2/20/2017 4:00	9.312	9.163	0.2817	0.2043
237	2/20/2017 5:00	9.435	9.485	0.28	0.1994
238	2/20/2017 6:00	9.534	9.903	0.2786	0.1948
239	2/20/2017 7:00	9.756	10.614	0.278	0.1917
240	2/20/2017 8:00	9.509	10.492	0.2773	0.1895
241	2/20/2017 9:00	9.509	10.663	0.277	0.1866
242	2/20/2017 10:00	9.829	10.98	0.2766	0.1843
243	2/20/2017 11:00	14.936	13.329	0.2756	0.1813
244	2/20/2017 12:00	16.82	14.385	0.2749	0.1783
245	2/20/2017 13:00	24.146	18.985	0.2729	0.1738
246	2/20/2017 14:00	28.295	22.824	0.2712	0.1689
247	2/20/2017 15:00	26.916	22.537	0.2705	0.1634
248	2/20/2017 16:00	27.505	22.705	0.2701	0.1596
249	2/20/2017 17:00	16.296	15.986	0.2708	0.1596
250	2/20/2017 18:00	14.745	14.697	0.2701	0.1581
251	2/20/2017 19:00	13.233	13.69	0.2698	0.157
252	2/20/2017 20:00	12.92	13.473	0.2694	0.157
253	2/20/2017 21:00	10.394	11.37	0.2694	0.157
254	2/20/2017 22:00	9.188	10.443	0.2691	0.157
255	2/20/2017 23:00	9.41	10.785	0.2687	0.1562
256	2/21/2017 0:00	9.089	10.712	0.2684	0.1562
257	2/21/2017 1:00	8.841	9.854	0.268	0.1562
258	2/21/2017 2:00	8.543	9.682	0.268	0.1562
259	2/21/2017 3:00	7.82	8.792	0.2677	0.1558
260	2/21/2017 4:00	7.795	8.99	0.2673	0.1558
261	2/21/2017 5:00	8.668	9.903	0.2673	0.1547
262	2/21/2017 6:00	9.015	10.173	0.267	0.1542
263	2/21/2017 7:00	8.941	9.928	0.2666	0.1532
264	2/21/2017 8:00	9.854	10.712	0.2664	0.1532
265	2/21/2017 9:00	9.879	10.761	0.2664	0.1523
266	2/21/2017 10:00	10.761	11.516	0.266	0.1519
267	2/21/2017 11:00	13.064	13.522	0.2653	0.1503
268	2/21/2017 12:00	13.594	14.002	0.265	0.1495
269	2/21/2017 13:00	14.816	15.127	0.2646	0.1484
270	2/21/2017 14:00	17.249	17.249	0.2635	0.147
271	2/21/2017 15:00	22.92	20.555	0.2621	0.145
272	2/21/2017 16:00	22.465	20.15	0.2618	0.1434
273	2/21/2017 17:00	15.843	15.939	0.2628	0.1441
274	2/21/2017 18:00	14.577	15.079	0.2624	0.1441
275	2/21/2017 19:00	14.098	14.433	0.2621	0.1434
276	2/21/2017 20:00	11.565	12.703	0.2621	0.1441
277	2/21/2017 21:00	8.593	9.558	0.2624	0.1446
278	2/21/2017 22:00	7.619	8.469	0.2624	0.145
279	2/21/2017 23:00	5.821	7.116	0.2621	0.1455
280	2/22/2017 0:00	6.357	6.889	0.2618	0.1455
281	2/22/2017 1:00	4.115	4.089	0.2621	0.1459
282	2/22/2017 2:00	3.221	2.021	0.2621	0.1466
283	2/22/2017 3:00	2.877	2.61	0.2621	0.1466
284	2/22/2017 4:00	2.155	0.934	0.2624	0.147
285	2/22/2017 5:00	1.289	0.384	0.2624	0.147
286	2/22/2017 6:00	0.742	0.051	0.2628	0.147
287	2/22/2017 7:00	3.958	3.301	0.2635	0.1484
288	2/22/2017 8:00	4.636	4.089	0.2639	0.1479
289	2/22/2017 9:00	4.921	4.272	0.2646	0.1479
290	2/22/2017 10:00	4.48	3.67	0.2653	0.1479
291	2/22/2017 11:00	8.369	7.041	0.2646	0.147
292	2/22/2017 12:00	17.201	11.005	0.2632	0.1446
293	2/22/2017 13:00	16.773	8.817	0.2632	0.1434
294	2/22/2017 14:00	16.677	9.928	0.2635	0.1434
295	2/22/2017 15:00	14.936	10.247	0.2632	0.1425
296	2/22/2017 16:00	20.746	13.016	0.2624	0.1416
297	2/22/2017 17:00	23.184	15.342	0.2615	0.1405
298	2/22/2017 18:00	26.158	18.675	0.2611	0.1416
299	2/22/2017 19:00	9.731	7.97	0.2621	0.1421
300	2/22/2017 20:00	6.433	6.179	0.2621	0.1425
301	2/22/2017 21:00	4.063	4.454	0.2624	0.1434
302	2/22/2017 22:00	2.45	2.956	0.2624	0.1441
303	2/22/2017 23:00	3.591	3.248	0.2621	0.1446
304	2/23/2017 0:00	2.664	2.316	0.2621	0.1446
305	2/23/2017 1:00	3.195	2.903	0.2621	0.145
306	2/23/2017 2:00	2.155	2.584	0.2621	0.145
307	2/23/2017 3:00	2.262	1.751	0.2677	0.1446
308	2/23/2017 4:00	3.195	2.209	0.2582	0.1441
309	2/23/2017 5:00	3.301	2.155	0.2571	0.1441
310	2/23/2017 6:00	2.983	1.778	0.2567	0.1441
311	2/23/2017 7:00	2.584	1.208	0.2564	0.1441
312	2/23/2017 8:00	1.724	0.384	0.2564	0.1441
313	2/23/2017 9:00	0.934	-0.283	0.2567	0.1441
314	2/23/2017 10:00	0.907	-0.563	0.2564	0.1441
315	2/23/2017 11:00	6.94	3.459	0.2553	0.1425
316	2/23/2017 12:00	25.939	13.81	0.2528	0.1396
317	2/23/2017 13:00	25.089	12.268	0.252	0.137
318	2/23/2017 14:00	26.989	16.987	0.2524	0.1366
319	2/23/2017 15:00	26.451	11.832	0.2505	0.1347
320	2/23/2017 16:00	24.823	10.345	0.2512	0.1335
321	2/23/2017 17:00	28.345	17.653	0.2505	0.1342
322	2/23/2017 18:00	22.992	12.243	0.2509	0.1352
323	2/23/2017 19:00	17.891	10.467	0.2509	0.1366
324	2/23/2017 20:00	5.693	6.737	0.2516	0.1382
325	2/23/2017 21:00	1.913	0.329	0.2528	0.1391
326	2/23/2017 22:00	0.246	-1.1	0.2528	0.14
327	2/23/2017 23:00	-0.199	-3.36	0.2528	0.1405
328	2/24/2017 0:00	-1.384	-4.348	0.2528	0.1412
329	2/24/2017 1:00	-1.814	-3.687	0.2528	0.1416
330	2/24/2017 2:00	-2.392	-5.574	0.2528	0.1421
331	2/24/2017 3:00	-2.479	-3.926	0.2524	0.1425
332	2/24/2017 4:00	-2.742	-5.079	0.252	0.1425
333	2/24/2017 5:00	-2.976	-5.48	0.252	0.1421
334	2/24/2017 6:00	-3.212	-5.854	0.252	0.1425
335	2/24/2017 7:00	-3.006	-4.865	0.252	0.1425
336	2/24/2017 8:00	-3.508	-6.77	0.252	0.143
337	2/24/2017 9:00	-3.094	-4.804	0.2512	0.143
338	2/24/2017 10:00	-2.508	-3.301	0.2512	0.143
339	2/24/2017 11:00	7.293	3.749	0.2498	0.1405
340	2/24/2017 12:00	15.533	10.222	0.2487	0.137
341	2/24/2017 13:00	26.573	14.768	0.2479	0.1347
342	2/24/2017 14:00	31.179	18.723	0.2464	0.1321
343	2/24/2017 15:00	32.742	19.984	0.2456	0.1307
344	2/24/2017 16:00	31.919	20.031	0.2456	0.1297
345	2/24/2017 17:00	31.001	20.412	0.2456	0.1285
346	2/24/2017 18:00	27.235	19.08	0.2456	0.1297
347	2/24/2017 19:00	21.795	17.653	0.246	0.1307
