Plot Title: 10859624					
#	"Date Time, GMT-05:00"	"Temp, °C (LGR S/N: 10859624, SEN S/N: 10981831)"	"Temp, °C (LGR S/N: 10859624, SEN S/N: 10981832)"	"Water Content, m³/m³ (LGR S/N: 10859624, SEN S/N: 11001910)"	"Water Content, m³/m³ (LGR S/N: 10859624, SEN S/N: 11001915)"
1	2/10/2017 9:00	14.96	15.39	-0.1189	-0.095
2	2/10/2017 10:00	14.697	15.103	-0.1189	-0.095
3	2/10/2017 11:00	16.153	15.342	-0.1094	-0.1039
4	2/10/2017 12:00	18.485	16.32	-0.0958	-0.1048
5	2/10/2017 13:00	19.77	17.368	-0.0932	-0.1048
6	2/10/2017 14:00	18.39	18.247	-0.2169	-0.2
7	2/10/2017 15:00	18.438	14.385	-0.2376	-0.1189
8	2/10/2017 16:00	16.201	13.594	-0.239	-0.1141
9	2/10/2017 17:00	14.002	14.098	-0.2535	-0.1628
10	2/10/2017 18:00	11.832	12.098	0.3022	0.3573
11	2/10/2017 19:00	11.832	11.977	0.3033	0.359
12	2/10/2017 20:00	11.929	11.953	0.3008	0.3578
13	2/10/2017 21:00	11.662	11.832	0.2994	0.3573
14	2/10/2017 22:00	11.394	11.467	0.2994	0.3573
15	2/10/2017 23:00	11.516	11.589	0.3001	0.3584
16	2/11/2017 0:00	11.54	11.589	0.3077	0.3611
17	2/11/2017 1:00	11.297	11.37	0.3192	0.3643
18	2/11/2017 2:00	11.078	11.151	0.3295	0.3655
19	2/11/2017 3:00	10.736	10.858	0.3118	0.3638
20	2/11/2017 4:00	10.516	10.565	0.308	0.3622
21	2/11/2017 5:00	9.386	9.534	0.3062	0.3611
22	2/11/2017 6:00	9.386	9.41	0.3051	0.36
23	2/11/2017 7:00	8.717	8.792	0.304	0.359
24	2/11/2017 8:00	7.745	7.895	0.3037	0.3584
25	2/11/2017 9:00	7.444	7.544	0.3029	0.3578
26	2/11/2017 10:00	7.242	7.293	0.3022	0.3573
27	2/11/2017 11:00	9.46	9.731	0.3019	0.3573
28	2/11/2017 12:00	12.025	12.678	0.3011	0.3578
29	2/11/2017 13:00	14.768	15.223	0.3008	0.359
30	2/11/2017 14:00	13.762	14.074	0.3005	0.36
31	2/11/2017 15:00	14.745	17.058	0.3001	0.3594
32	2/11/2017 16:00	11.2	10.858	0.2997	0.3578
33	2/11/2017 17:00	13.137	12.847	0.2994	0.3568
34	2/11/2017 18:00	10.736	10.736	0.2987	0.3563
35	2/11/2017 19:00	8.668	8.319	0.2984	0.3553
36	2/11/2017 20:00	8.045	7.895	0.2979	0.3542
37	2/11/2017 21:00	8.145	8.295	0.2976	0.3537
38	2/11/2017 22:00	8.295	8.494	0.2973	0.3526
39	2/11/2017 23:00	8.394	8.693	0.2973	0.3526
40	2/12/2017 0:00	6.458	6.331	0.2973	0.3521
41	2/12/2017 1:00	4.61	5.282	0.297	0.3511
42	2/12/2017 2:00	3.617	4.35	0.297	0.3511
43	2/12/2017 3:00	4.454	4.714	0.2966	0.3506
44	2/12/2017 4:00	4.22	4.61	0.2966	0.35
45	2/12/2017 5:00	3.985	4.506	0.2963	0.35
46	2/12/2017 6:00	2.37	3.089	0.2963	0.3496
47	2/12/2017 7:00	1.317	2.262	0.2963	0.349
