"Plot Title: 10859620"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10859620, SEN S/N: 10868950)","Temp, °F (LGR S/N: 10859620, SEN S/N: 10868951)","Water Content, m³/m³ (LGR S/N: 10859620, SEN S/N: 10880706)","Water Content, m³/m³ (LGR S/N: 10859620, SEN S/N: 10880707)"
1,04/10/17 05:00:01 PM,91.355,86.981,0.0434,0.1484
2,04/10/17 06:00:01 PM,80.096,78.033,0.0375,0.1459
3,04/10/17 07:00:01 PM,64.288,66.643,0.0328,0.1425
4,04/10/17 08:00:01 PM,55.386,56.251,0.0247,0.1405
5,04/10/17 09:00:01 PM,49.649,50.356,0.0205,0.1387
6,04/10/17 10:00:01 PM,50.929,51.544,0.0176,0.1370
7,04/10/17 11:00:01 PM,50.092,50.841,0.0166,0.1361
8,04/11/17 12:00:01 AM,46.796,47.199,0.0152,0.1352
