"Plot Title: 10859614"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10859614, SEN S/N: 10836752)","Temp, °F (LGR S/N: 10859614, SEN S/N: 10868961)","Water Content, m³/m³ (LGR S/N: 10859614, SEN S/N: 10879379)","Water Content, m³/m³ (LGR S/N: 10859614, SEN S/N: 10879390)"
1,04/11/17 05:00:01 PM,72.221,82.931,0.1014,0.1728
2,04/11/17 06:00:01 PM,59.014,72.093,0.0998,0.1718
3,04/11/17 07:00:01 PM,-93.987,61.119,0.0981,0.1699
4,04/11/17 08:00:01 PM,-93.987,51.678,0.0961,0.1677
5,04/11/17 09:00:01 PM,-95.030,49.471,0.0949,0.1656
6,04/11/17 10:00:01 PM,-96.115,46.886,0.0943,0.1638
7,04/11/17 11:00:01 PM,-93.987,36.891,0.0926,0.1619
8,04/12/17 12:00:01 AM,-96.115,38.937,0.0920,0.1604
9,04/12/17 01:00:01 AM,-96.115,38.226,0.0914,0.1596
10,04/12/17 02:00:01 AM,-96.115,37.942,0.0908,0.1585
11,04/12/17 03:00:01 AM,-96.115,35.638,0.0902,0.1577
12,04/12/17 04:00:01 AM,-97.244,39.454,0.0902,0.1570
13,04/12/17 05:00:01 AM,-97.244,38.984,0.0896,0.1566
14,04/12/17 06:00:01 AM,-97.244,37.846,0.0896,0.1558
15,04/12/17 07:00:01 AM,-97.244,39.736,0.0893,0.1551
16,04/12/17 08:00:01 AM,-98.419,63.732,0.0914,0.1562
17,04/12/17 09:00:01 AM,-98.419,77.247,0.0949,0.1577
18,04/12/17 10:00:01 AM,-98.419,92.104,0.0975,0.1604
19,04/12/17 11:00:01 AM,-98.419,94.039,0.1003,0.1638
20,04/12/17 12:00:01 PM,-98.419,102.519,0.1025,0.1667
21,04/12/17 01:00:01 PM,-99.648,106.545,0.1058,0.1695
22,04/12/17 02:00:01 PM,-100.934,111.718,0.1085,0.1718
23,04/12/17 03:00:01 PM,-100.934,101.208,0.1080,0.1728
24,04/12/17 04:00:01 PM,-100.934,101.408,0.1058,0.1746
25,04/12/17 05:00:01 PM,-98.419,90.009,0.1025,0.1724
26,04/12/17 06:00:01 PM,-96.115,74.727,0.1003,0.1699
27,04/12/17 07:00:01 PM,-95.030,62.533,0.0981,0.1677
28,04/12/17 08:00:01 PM,-93.987,52.772,0.0961,0.1648
29,04/12/17 09:00:01 PM,-93.987,46.706,0.0943,0.1623
30,04/12/17 10:00:01 PM,-93.987,41.925,0.0932,0.1596
31,04/12/17 11:00:01 PM,-95.030,36.217,0.0920,0.1577
32,04/13/17 12:00:01 AM,-96.115,41.369,0.0914,0.1566
33,04/13/17 01:00:01 AM,-95.030,34.468,0.0902,0.1547
34,04/13/17 02:00:01 AM,-97.244,40.532,0.0902,0.1542
35,04/13/17 03:00:01 AM,-97.244,45.761,0.0902,0.1542
36,04/13/17 04:00:01 AM,-96.115,44.764,0.0902,0.1538
37,04/13/17 05:00:01 AM,-95.030,34.174,0.0893,0.1527
38,04/13/17 06:00:01 AM,-97.244,36.651,0.0887,0.1519
39,04/13/17 07:00:01 AM,-97.244,42.247,0.0893,0.1519
40,04/13/17 08:00:01 AM,-98.419,58.626,0.0908,0.1527
41,04/13/17 09:00:01 AM,-97.244,61.590,0.0914,0.1538
42,04/13/17 10:00:01 AM,-96.115,62.748,0.0932,0.1551
43,04/13/17 11:00:01 AM,-97.244,78.121,0.0961,0.1566
44,04/13/17 12:00:01 PM,-99.648,88.993,0.0975,0.1590
45,04/13/17 01:00:01 PM,-97.244,81.597,0.0975,0.1615
46,04/13/17 02:00:01 PM,-99.648,91.589,0.1003,0.1623
47,04/13/17 03:00:01 PM,-99.648,89.593,0.1009,0.1638
48,04/13/17 04:00:01 PM,-99.648,86.437,0.0981,0.1642
49,04/13/17 05:00:01 PM,-98.419,75.508,0.0963,0.1634
50,04/13/17 06:00:01 PM,-97.244,66.344,0.0943,0.1615
51,04/13/17 07:00:01 PM,-96.115,52.378,0.0926,0.1590
52,04/13/17 08:00:01 PM,-95.030,44.173,0.0914,0.1562
53,04/13/17 09:00:01 PM,-96.115,42.064,0.0902,0.1542
54,04/13/17 10:00:01 PM,-96.115,40.998,0.0893,0.1527
55,04/13/17 11:00:01 PM,-97.244,44.946,0.0893,0.1523
56,04/14/17 12:00:01 AM,-97.244,42.064,0.0893,0.1519
57,04/14/17 01:00:01 AM,-97.244,43.122,0.0887,0.1508
58,04/14/17 02:00:01 AM,-98.419,44.537,0.0887,0.1503
59,04/14/17 03:00:01 AM,-97.244,43.488,0.0881,0.1499
60,04/14/17 04:00:01 AM,-97.244,42.525,0.0881,0.1495
61,04/14/17 05:00:01 AM,-97.244,41.369,0.0875,0.1484
62,04/14/17 06:00:01 AM,-97.244,40.951,0.0869,0.1484
63,04/14/17 07:00:01 AM,-97.244,41.416,0.0863,0.1479
