"Plot Title: 10859616"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10859616, SEN S/N: 10868941)","Water Content, m³/m³ (LGR S/N: 10859616, SEN S/N: 10880711)","Water Content, m³/m³ (LGR S/N: 10859616, SEN S/N: 10880712)"
1,04/10/17 06:00:01 PM,71.748,0.0725,0.1153
2,04/10/17 07:00:01 PM,62.105,0.0684,0.1112
3,04/10/17 08:00:01 PM,55.472,0.0653,0.1080
4,04/10/17 09:00:01 PM,49.737,0.0632,0.1058
5,04/10/17 10:00:01 PM,51.062,0.0621,0.1036
6,04/10/17 11:00:01 PM,50.356,0.0614,0.1014
7,04/11/17 12:00:01 AM,47.647,0.0607,0.0998
8,04/11/17 01:00:01 AM,45.941,0.0596,0.0992
9,04/11/17 02:00:01 AM,44.537,0.0596,0.0981
10,04/11/17 03:00:01 AM,43.624,0.0588,0.0969
11,04/11/17 04:00:01 AM,42.064,0.0581,0.0963
12,04/11/17 05:00:01 AM,39.736,0.0574,0.0955
13,04/11/17 06:00:01 AM,39.407,0.0574,0.0949
14,04/11/17 07:00:01 AM,39.078,0.0570,0.0943
15,04/11/17 08:00:01 AM,47.871,0.0596,0.0955
16,04/11/17 09:00:01 AM,50.797,0.0614,0.0969
17,04/11/17 10:00:01 AM,58.195,0.0639,0.0981
18,04/11/17 11:00:01 AM,73.774,0.0678,0.1020
19,04/11/17 12:00:01 PM,90.703,0.0758,0.1096
20,04/11/17 01:00:01 PM,109.801,0.0829,0.1159
21,04/11/17 02:00:01 PM,107.974,0.0850,0.1169
22,04/11/17 03:00:01 PM,110.728,0.0850,0.1194
23,04/11/17 04:00:01 PM,102.214,0.0841,0.1184
24,04/11/17 05:00:01 PM,91.776,0.0794,0.1164
25,04/11/17 06:00:01 PM,77.421,0.0738,0.1138
26,04/11/17 07:00:01 PM,64.459,0.0684,0.1096
27,04/11/17 08:00:01 PM,56.988,0.0646,0.1064
28,04/11/17 09:00:01 PM,51.501,0.0621,0.1042
29,04/11/17 10:00:01 PM,48.360,0.0607,0.1020
30,04/11/17 11:00:01 PM,45.624,0.0588,0.0998
31,04/12/17 12:00:01 AM,45.444,0.0581,0.0986
32,04/12/17 01:00:01 AM,46.031,0.0581,0.0975
33,04/12/17 02:00:01 AM,43.671,0.0574,0.0963
34,04/12/17 03:00:01 AM,41.322,0.0562,0.0955
35,04/12/17 04:00:01 AM,42.064,0.0562,0.0949
36,04/12/17 05:00:01 AM,39.970,0.0547,0.0937
37,04/12/17 06:00:01 AM,37.369,0.0547,0.0932
38,04/12/17 07:00:01 AM,37.560,0.0547,0.0926
39,04/12/17 08:00:01 AM,49.428,0.0570,0.0955
40,04/12/17 09:00:01 AM,62.620,0.0607,0.0986
41,04/12/17 10:00:01 AM,84.272,0.0664,0.1053
42,04/12/17 11:00:01 AM,94.658,0.0725,0.1096
43,04/12/17 12:00:01 PM,102.367,0.0787,0.1133
44,04/12/17 01:00:01 PM,103.129,0.0822,0.1164
45,04/12/17 02:00:01 PM,100.908,0.0829,0.1189
46,04/12/17 03:00:01 PM,99.167,0.0816,0.1189
47,04/12/17 04:00:01 PM,102.621,0.0810,0.1189
48,04/12/17 05:00:01 PM,90.147,0.0781,0.1184
49,04/12/17 06:00:01 PM,73.386,0.0708,0.1143
50,04/12/17 07:00:01 PM,63.732,0.0660,0.1091
51,04/12/17 08:00:01 PM,58.712,0.0628,0.1058
52,04/12/17 09:00:01 PM,55.949,0.0607,0.1031
