"Plot Title: 10859615"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10859615, SEN S/N: 10981823)","Temp, °F (LGR S/N: 10859615, SEN S/N: 10981829)","Water Content, m³/m³ (LGR S/N: 10859615, SEN S/N: 11001914)","Water Content, m³/m³ (LGR S/N: 10859615, SEN S/N: 11001916)"
1,04/11/17 05:00:01 PM,88.626,82.486,0.1014,0.1400
2,04/11/17 06:00:01 PM,77.815,73.342,0.0986,0.1370
3,04/11/17 07:00:01 PM,60.303,61.677,0.0949,0.1326
4,04/11/17 08:00:01 PM,52.641,53.733,0.0914,0.1285
5,04/11/17 09:00:01 PM,48.583,49.914,0.0896,0.1261
6,04/11/17 10:00:01 PM,45.941,47.826,0.0887,0.1246
7,04/11/17 11:00:01 PM,39.502,40.719,0.0863,0.1237
8,04/12/17 12:00:01 AM,40.392,40.626,0.0850,0.1214
9,04/12/17 01:00:01 AM,39.690,39.924,0.0844,0.1209
10,04/12/17 02:00:01 AM,39.924,39.549,0.0841,0.1199
11,04/12/17 03:00:01 AM,38.511,37.798,0.0835,0.1194
12,04/12/17 04:00:01 AM,40.532,39.783,0.0835,0.1189
13,04/12/17 05:00:01 AM,40.345,39.502,0.0829,0.1189
14,04/12/17 06:00:01 AM,38.937,38.368,0.0822,0.1184
15,04/12/17 07:00:01 AM,40.345,39.877,0.0822,0.1184
16,04/12/17 08:00:01 AM,57.679,65.403,0.0863,0.1209
17,04/12/17 09:00:01 AM,75.074,83.377,0.0914,0.1242
18,04/12/17 10:00:01 AM,84.362,93.234,0.0963,0.1251
19,04/12/17 11:00:01 AM,97.111,96.289,0.1014,0.1290
20,04/12/17 12:00:01 PM,108.349,102.214,0.1025,0.1326
21,04/12/17 01:00:01 PM,115.608,102.013,0.1042,0.1361
22,04/12/17 02:00:01 PM,117.000,103.078,0.1053,0.1387
23,04/12/17 03:00:01 PM,117.468,100.657,0.1053,0.1396
24,04/12/17 04:00:01 PM,110.619,96.676,0.1036,0.1391
25,04/12/17 05:00:01 PM,95.999,86.844,0.1003,0.1357
26,04/12/17 06:00:01 PM,80.139,74.770,0.0963,0.1321
27,04/12/17 07:00:01 PM,63.219,63.518,0.0926,0.1266
28,04/12/17 08:00:01 PM,53.209,55.081,0.0887,0.1224
29,04/12/17 09:00:01 PM,48.628,49.914,0.0863,0.1199
30,04/12/17 10:00:01 PM,43.945,44.310,0.0841,0.1179
31,04/12/17 11:00:01 PM,39.454,40.251,0.0816,0.1159
32,04/13/17 12:00:01 AM,39.877,42.247,0.0810,0.1148
33,04/13/17 01:00:01 AM,36.698,37.416,0.0794,0.1138
34,04/13/17 02:00:01 AM,40.905,41.832,0.0797,0.1133
35,04/13/17 03:00:01 AM,47.289,47.064,0.0810,0.1138
36,04/13/17 04:00:01 AM,45.307,45.806,0.0810,0.1138
37,04/13/17 05:00:01 AM,36.747,37.130,0.0794,0.1128
38,04/13/17 06:00:01 AM,38.037,37.893,0.0787,0.1117
39,04/13/17 07:00:01 AM,42.663,43.443,0.0794,0.1117
40,04/13/17 08:00:01 AM,53.994,60.948,0.0822,0.1138
41,04/13/17 09:00:01 AM,57.592,62.406,0.0844,0.1148
42,04/13/17 10:00:01 AM,58.928,63.176,0.0863,0.1159
43,04/13/17 11:00:01 AM,72.869,77.117,0.0902,0.1184
44,04/13/17 12:00:01 PM,88.167,84.677,0.0926,0.1224
45,04/13/17 01:00:01 PM,81.909,82.353,0.0937,0.1251
46,04/13/17 02:00:01 PM,99.811,85.622,0.0955,0.1281
47,04/13/17 03:00:01 PM,98.971,85.352,0.0963,0.1312
48,04/13/17 04:00:01 PM,93.612,80.492,0.0949,0.1307
49,04/13/17 05:00:01 PM,83.199,74.034,0.0932,0.1297
50,04/13/17 06:00:01 PM,70.158,65.745,0.0896,0.1256
51,04/13/17 07:00:01 PM,53.341,53.645,0.0850,0.1194
52,04/13/17 08:00:01 PM,46.931,46.616,0.0816,0.1169
53,04/13/17 09:00:01 PM,43.716,43.808,0.0797,0.1143
54,04/13/17 10:00:01 PM,41.970,42.202,0.0787,0.1133
55,04/13/17 11:00:01 PM,46.346,45.851,0.0787,0.1128
56,04/14/17 12:00:01 AM,43.716,44.173,0.0787,0.1122
57,04/14/17 01:00:01 AM,44.173,44.218,0.0781,0.1117
58,04/14/17 02:00:01 AM,45.127,44.946,0.0781,0.1112
59,04/14/17 03:00:01 AM,44.492,44.173,0.0781,0.1112
60,04/14/17 04:00:01 AM,43.808,43.214,0.0775,0.1107
61,04/14/17 05:00:01 AM,42.755,42.202,0.0775,0.1107
62,04/14/17 06:00:01 AM,42.202,41.648,0.0768,0.1107
63,04/14/17 07:00:01 AM,42.247,42.017,0.0768,0.1101
64,04/14/17 08:00:01 AM,47.914,47.019,0.0781,0.1107
65,04/14/17 09:00:01 AM,53.427,53.472,0.0803,0.1122
66,04/14/17 10:00:01 AM,59.272,56.599,0.0816,0.1138
67,04/14/17 11:00:01 AM,69.600,65.017,0.0850,0.1164
68,04/14/17 12:00:01 PM,88.855,71.920,0.0881,0.1209
