"Plot Title: 10859608"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 10859608, SEN S/N: 10879383)","Water Content, m³/m³ (LGR S/N: 10859608, SEN S/N: 10879395)"
1,04/11/17 12:00:01 PM,0.0375,-0.0701
2,04/11/17 01:00:01 PM,0.0462,-0.0587
3,04/11/17 02:00:01 PM,0.0517,-0.0579
4,04/11/17 03:00:01 PM,0.0536,-0.0579
5,04/11/17 04:00:01 PM,0.0544,-0.0616
6,04/11/17 05:00:01 PM,0.0528,-0.0662
7,04/11/17 06:00:01 PM,0.0509,-0.0685
8,04/11/17 07:00:01 PM,0.0474,-0.0733
9,04/11/17 08:00:01 PM,0.0425,-0.0781
10,04/11/17 09:00:01 PM,0.0405,-0.0781
11,04/11/17 10:00:01 PM,0.0392,-0.0805
12,04/11/17 11:00:01 PM,0.0371,-0.0822
13,04/12/17 12:00:01 AM,0.0354,-0.0830
14,04/12/17 01:00:01 AM,0.0350,-0.0822
15,04/12/17 02:00:01 AM,0.0332,-0.0847
16,04/12/17 03:00:01 AM,0.0328,-0.0847
17,04/12/17 04:00:01 AM,0.0319,-0.0830
18,04/12/17 05:00:01 AM,0.0319,-0.0847
19,04/12/17 06:00:01 AM,0.0306,-0.0847
20,04/12/17 07:00:01 AM,0.0306,-0.0830
21,04/12/17 08:00:01 AM,0.0310,-0.0805
22,04/12/17 09:00:01 AM,0.0328,-0.0757
23,04/12/17 10:00:01 AM,0.0350,-0.0693
24,04/12/17 11:00:01 AM,0.0392,-0.0654
25,04/12/17 12:00:01 PM,0.0442,-0.0572
26,04/12/17 01:00:01 PM,0.0501,-0.0528
27,04/12/17 02:00:01 PM,0.0555,-0.0535
28,04/12/17 03:00:01 PM,0.0581,-0.0550
29,04/12/17 04:00:01 PM,0.0574,-0.0609
30,04/12/17 05:00:01 PM,0.0570,-0.0587
31,04/12/17 06:00:01 PM,0.0517,-0.0662
32,04/12/17 07:00:01 PM,0.0482,-0.0693
33,04/12/17 08:00:01 PM,0.0446,-0.0749
34,04/12/17 09:00:01 PM,0.0425,-0.0765
35,04/12/17 10:00:01 PM,0.0392,-0.0765
36,04/12/17 11:00:01 PM,0.0371,-0.0805
37,04/13/17 12:00:01 AM,0.0354,-0.0814
38,04/13/17 01:00:01 AM,0.0350,-0.0805
39,04/13/17 02:00:01 AM,0.0341,-0.0805
40,04/13/17 03:00:01 AM,0.0332,-0.0814
41,04/13/17 04:00:01 AM,0.0328,-0.0822
42,04/13/17 05:00:01 AM,0.0310,-0.0830
43,04/13/17 06:00:01 AM,0.0306,-0.0822
44,04/13/17 07:00:01 AM,0.0297,-0.0814
45,04/13/17 08:00:01 AM,0.0306,-0.0789
46,04/13/17 09:00:01 AM,0.0310,-0.0765
47,04/13/17 10:00:01 AM,0.0328,-0.0733
48,04/13/17 11:00:01 AM,0.0350,-0.0725
49,04/13/17 12:00:01 PM,0.0354,-0.0693
50,04/13/17 01:00:01 PM,0.0375,-0.0701
51,04/13/17 02:00:01 PM,0.0405,-0.0654
52,04/13/17 03:00:01 PM,0.0434,-0.0654
53,04/13/17 04:00:01 PM,0.0446,-0.0654
54,04/13/17 05:00:01 PM,0.0446,-0.0685
55,04/13/17 06:00:01 PM,0.0425,-0.0701
56,04/13/17 07:00:01 PM,0.0392,-0.0765
57,04/13/17 08:00:01 PM,0.0363,-0.0805
58,04/13/17 09:00:01 PM,0.0341,-0.0847
59,04/13/17 10:00:01 PM,0.0328,-0.0847
60,04/13/17 11:00:01 PM,0.0319,-0.0822
61,04/14/17 12:00:01 AM,0.0310,-0.0847
62,04/14/17 01:00:01 AM,0.0297,-0.0847
63,04/14/17 02:00:01 AM,0.0288,-0.0830
64,04/14/17 03:00:01 AM,0.0288,-0.0847
65,04/14/17 04:00:01 AM,0.0283,-0.0855
66,04/14/17 05:00:01 AM,0.0274,-0.0855
67,04/14/17 06:00:01 AM,0.0274,-0.0864
68,04/14/17 07:00:01 AM,0.0270,-0.0830
69,04/14/17 08:00:01 AM,0.0270,-0.0855
70,04/14/17 09:00:01 AM,0.0274,-0.0847
71,04/14/17 10:00:01 AM,0.0288,-0.0830
72,04/14/17 11:00:01 AM,0.0310,-0.0789
73,04/14/17 12:00:01 PM,0.0363,-0.0733
74,04/14/17 01:00:01 PM,0.0421,-0.0701
75,04/14/17 02:00:01 PM,0.0470,-0.0670
76,04/14/17 03:00:01 PM,0.0494,-0.0662
77,04/14/17 04:00:01 PM,0.0501,-0.0693
78,04/14/17 05:00:01 PM,0.0494,-0.0717
79,04/14/17 06:00:01 PM,0.0474,-0.0749
80,04/14/17 07:00:01 PM,0.0425,-0.0805
81,04/14/17 08:00:01 PM,0.0392,-0.0830
82,04/14/17 09:00:01 PM,0.0363,-0.0847
83,04/14/17 10:00:01 PM,0.0332,-0.0855
84,04/14/17 11:00:01 PM,0.0328,-0.0855
85,04/15/17 12:00:01 AM,0.0310,-0.0855
86,04/15/17 01:00:01 AM,0.0288,-0.0864
87,04/15/17 02:00:01 AM,0.0283,-0.0864
