"Plot Title: 10859600"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10859600, SEN S/N: 10836753)","Temp, °F (LGR S/N: 10859600, SEN S/N: 10836764)","Water Content, m³/m³ (LGR S/N: 10859600, SEN S/N: 10879374)","Water Content, m³/m³ (LGR S/N: 10859600, SEN S/N: 10879384)"
1,04/11/17 05:00:01 PM,91.636,75.942,0.0943,0.1570
2,04/11/17 06:00:01 PM,82.798,70.759,0.0926,0.1570
3,04/11/17 07:00:01 PM,63.048,61.547,0.0902,0.1585
4,04/11/17 08:00:01 PM,53.472,54.734,0.0881,0.1581
5,04/11/17 09:00:01 PM,45.444,49.471,0.0863,0.1570
6,04/11/17 10:00:01 PM,42.708,47.377,0.0850,0.1566
7,04/11/17 11:00:01 PM,38.984,37.274,0.0835,0.1562
8,04/12/17 12:00:01 AM,39.360,39.407,0.0829,0.1558
9,04/12/17 01:00:01 AM,39.549,39.124,0.0822,0.1547
10,04/12/17 02:00:01 AM,38.984,38.842,0.0810,0.1542
11,04/12/17 03:00:01 AM,38.084,38.322,0.0810,0.1538
12,04/12/17 04:00:01 AM,39.830,39.360,0.0810,0.1532
13,04/12/17 05:00:01 AM,39.643,39.360,0.0803,0.1527
14,04/12/17 06:00:01 AM,39.783,39.643,0.0797,0.1523
15,04/12/17 07:00:01 AM,40.251,40.392,0.0794,0.1519
16,04/12/17 08:00:01 AM,57.463,58.239,0.0803,0.1490
17,04/12/17 09:00:01 AM,75.508,69.213,0.0822,0.1479
18,04/12/17 10:00:01 AM,88.993,82.085,0.0844,0.1490
19,04/12/17 11:00:01 AM,96.481,82.753,0.0881,0.1508
20,04/12/17 12:00:01 PM,111.222,88.351,0.0914,0.1514
21,04/12/17 01:00:01 PM,111.112,93.612,0.0932,0.1519
22,04/12/17 02:00:01 PM,106.389,94.086,0.0943,0.1523
23,04/12/17 03:00:01 PM,112.105,90.844,0.0955,0.1527
24,04/12/17 04:00:01 PM,102.672,87.985,0.0955,0.1527
25,04/12/17 05:00:01 PM,87.620,79.831,0.0932,0.1527
26,04/12/17 06:00:01 PM,80.008,74.163,0.0920,0.1532
27,04/12/17 07:00:01 PM,66.729,63.433,0.0896,0.1542
28,04/12/17 08:00:01 PM,51.017,53.908,0.0869,0.1538
29,04/12/17 09:00:01 PM,47.871,49.471,0.0850,0.1527
30,04/12/17 10:00:01 PM,42.800,42.708,0.0841,0.1519
31,04/12/17 11:00:01 PM,39.454,37.465,0.0829,0.1514
32,04/13/17 12:00:01 AM,38.557,41.693,0.0816,0.1499
33,04/13/17 01:00:01 AM,36.505,34.320,0.0803,0.1499
34,04/13/17 02:00:01 AM,40.905,39.830,0.0803,0.1490
35,04/13/17 03:00:01 AM,46.931,45.806,0.0797,0.1479
36,04/13/17 04:00:01 AM,45.262,45.082,0.0803,0.1479
37,04/13/17 05:00:01 AM,36.603,35.589,0.0794,0.1490
38,04/13/17 06:00:01 AM,37.751,37.751,0.0787,0.1484
39,04/13/17 07:00:01 AM,42.294,42.386,0.0787,0.1475
40,04/13/17 08:00:01 AM,54.169,55.299,0.0794,0.1450
41,04/13/17 09:00:01 AM,60.003,60.217,0.0803,0.1459
42,04/13/17 10:00:01 AM,59.445,60.003,0.0816,0.1470
43,04/13/17 11:00:01 AM,72.653,69.256,0.0835,0.1459
44,04/13/17 12:00:01 PM,85.397,74.120,0.0857,0.1470
45,04/13/17 01:00:01 PM,77.160,69.685,0.0863,0.1484
46,04/13/17 02:00:01 PM,88.351,80.051,0.0893,0.1475
47,04/13/17 03:00:01 PM,88.443,75.204,0.0902,0.1479
48,04/13/17 04:00:01 PM,86.437,71.620,0.0902,0.1479
49,04/13/17 05:00:01 PM,77.553,68.013,0.0893,0.1484
50,04/13/17 06:00:01 PM,68.742,64.033,0.0869,0.1484
51,04/13/17 07:00:01 PM,54.648,53.427,0.0841,0.1495
52,04/13/17 08:00:01 PM,46.076,46.841,0.0816,0.1495
53,04/13/17 09:00:01 PM,43.534,44.173,0.0797,0.1484
54,04/13/17 10:00:01 PM,39.173,41.277,0.0794,0.1479
55,04/13/17 11:00:01 PM,45.896,44.901,0.0794,0.1466
56,04/14/17 12:00:01 AM,43.808,42.939,0.0794,0.1466
57,04/14/17 01:00:01 AM,43.990,43.214,0.0781,0.1459
58,04/14/17 02:00:01 AM,45.082,44.355,0.0781,0.1459
59,04/14/17 03:00:01 AM,44.263,43.579,0.0775,0.1455
60,04/14/17 04:00:01 AM,43.534,42.478,0.0775,0.1455
61,04/14/17 05:00:01 AM,42.663,41.648,0.0768,0.1450
62,04/14/17 06:00:01 AM,42.525,40.905,0.0768,0.1450
63,04/14/17 07:00:01 AM,43.075,41.277,0.0762,0.1450
64,04/14/17 08:00:01 AM,50.356,45.986,0.0768,0.1441
65,04/14/17 09:00:01 AM,57.117,48.628,0.0781,0.1434
66,04/14/17 10:00:01 AM,64.888,52.335,0.0794,0.1434
67,04/14/17 11:00:01 AM,77.160,58.712,0.0816,0.1441
68,04/14/17 12:00:01 PM,100.956,68.443,0.0844,0.1441
69,04/14/17 01:00:01 PM,100.807,70.803,0.0875,0.1455
70,04/14/17 02:00:01 PM,104.877,72.826,0.0896,0.1466
71,04/14/17 03:00:01 PM,97.990,70.673,0.0902,0.1466
72,04/14/17 04:00:01 PM,97.209,67.500,0.0902,0.1466
73,04/14/17 05:00:01 PM,83.199,63.561,0.0893,0.1470
74,04/14/17 06:00:01 PM,72.264,59.873,0.0869,0.1470
75,04/14/17 07:00:01 PM,57.204,50.621,0.0844,0.1479
76,04/14/17 08:00:01 PM,38.937,34.761,0.0803,0.1479
77,04/14/17 09:00:01 PM,32.392,29.662,0.0775,0.1470
78,04/14/17 10:00:01 PM,31.692,30.376,0.0768,0.1459
79,04/14/17 11:00:01 PM,30.173,27.223,0.0752,0.1450
80,04/15/17 12:00:01 AM,31.037,28.476,0.0745,0.1441
81,04/15/17 01:00:01 AM,27.903,25.738,0.0732,0.1434
82,04/15/17 02:00:01 AM,28.942,27.433,0.0725,0.1430
83,04/15/17 03:00:01 AM,28.735,28.632,0.0725,0.1425
84,04/15/17 04:00:01 AM,28.632,27.538,0.0715,0.1425
85,04/15/17 05:00:01 AM,30.276,29.509,0.0708,0.1416
86,04/15/17 06:00:01 AM,28.942,28.425,0.0702,0.1421
87,04/15/17 07:00:01 AM,30.783,31.239,0.0702,0.1416
88,04/15/17 08:00:01 AM,48.315,47.244,0.0715,0.1391
89,04/15/17 09:00:01 AM,69.427,65.017,0.0745,0.1382
90,04/15/17 10:00:01 AM,87.802,72.739,0.0768,0.1391
91,04/15/17 11:00:01 AM,96.724,81.154,0.0810,0.1412
92,04/15/17 12:00:01 PM,101.660,86.119,0.0844,0.1425
93,04/15/17 01:00:01 PM,99.613,87.483,0.0863,0.1434
94,04/15/17 02:00:01 PM,96.289,88.579,0.0887,0.1450
95,04/15/17 03:00:01 PM,103.282,86.301,0.0896,0.1455
