"Plot Title: 10859611"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10859611, SEN S/N: 10836755)","Temp, °F (LGR S/N: 10859611, SEN S/N: 10836766)","Water Content, m³/m³ (LGR S/N: 10859611, SEN S/N: 10879371)","Water Content, m³/m³ (LGR S/N: 10859611, SEN S/N: 10879397)"
1,04/11/17 05:00:01 PM,93.517,86.391,0.1656,0.0835
2,04/11/17 06:00:01 PM,74.163,77.247,0.1656,0.0768
3,04/11/17 07:00:01 PM,59.702,61.290,0.1656,0.0708
4,04/11/17 08:00:01 PM,51.017,53.166,0.1634,0.0660
5,04/11/17 09:00:01 PM,48.094,47.019,0.1619,0.0639
6,04/11/17 10:00:01 PM,44.674,44.946,0.1596,0.0621
7,04/11/17 11:00:01 PM,39.596,37.893,0.1581,0.0599
8,04/12/17 12:00:01 AM,40.064,38.273,0.1558,0.0588
9,04/12/17 01:00:01 AM,39.783,38.084,0.1551,0.0574
10,04/12/17 02:00:01 AM,39.267,37.846,0.1527,0.0570
11,04/12/17 03:00:01 AM,38.653,37.274,0.1519,0.0562
12,04/12/17 04:00:01 AM,40.298,39.173,0.1503,0.0562
13,04/12/17 05:00:01 AM,40.719,39.736,0.1495,0.0555
14,04/12/17 06:00:01 AM,39.407,38.415,0.1490,0.0547
15,04/12/17 07:00:01 AM,40.719,39.877,0.1479,0.0547
16,04/12/17 08:00:01 AM,59.272,58.798,0.1466,0.0614
17,04/12/17 09:00:01 AM,83.332,79.876,0.1459,0.0702
18,04/12/17 10:00:01 AM,98.283,85.894,0.1475,0.0762
19,04/12/17 11:00:01 AM,107.389,94.039,0.1499,0.0822
20,04/12/17 12:00:01 PM,116.418,103.845,0.1538,0.0875
21,04/12/17 01:00:01 PM,119.847,104.565,0.1577,0.0902
22,04/12/17 02:00:01 PM,121.307,100.657,0.1615,0.0914
23,04/12/17 03:00:01 PM,118.472,104.360,0.1638,0.0914
24,04/12/17 04:00:01 PM,114.863,100.657,0.1663,0.0908
25,04/12/17 05:00:01 PM,96.773,91.449,0.1663,0.0844
26,04/12/17 06:00:01 PM,74.295,78.208,0.1663,0.0775
27,04/12/17 07:00:01 PM,62.191,64.288,0.1652,0.0715
28,04/12/17 08:00:01 PM,51.984,51.721,0.1638,0.0664
29,04/12/17 09:00:01 PM,47.602,46.526,0.1604,0.0632
30,04/12/17 10:00:01 PM,44.218,41.740,0.1590,0.0614
31,04/12/17 11:00:01 PM,38.937,36.266,0.1570,0.0581
32,04/13/17 12:00:01 AM,39.502,39.124,0.1547,0.0574
33,04/13/17 01:00:01 AM,36.554,34.713,0.1527,0.0555
34,04/13/17 02:00:01 AM,40.905,40.251,0.1508,0.0562
35,04/13/17 03:00:01 AM,46.974,45.851,0.1495,0.0574
36,04/13/17 04:00:01 AM,45.534,44.310,0.1484,0.0570
37,04/13/17 05:00:01 AM,37.942,35.733,0.1484,0.0547
38,04/13/17 06:00:01 AM,37.989,36.842,0.1475,0.0544
39,04/13/17 07:00:01 AM,43.122,42.341,0.1459,0.0547
40,04/13/17 08:00:01 AM,56.728,58.368,0.1450,0.0599
41,04/13/17 09:00:01 AM,60.690,61.934,0.1450,0.0614
42,04/13/17 10:00:01 AM,61.032,62.105,0.1466,0.0684
43,04/13/17 11:00:01 AM,77.029,76.158,0.1475,0.0722
44,04/13/17 12:00:01 PM,97.111,79.173,0.1484,0.0768
45,04/13/17 01:00:01 PM,92.386,78.165,0.1514,0.0781
46,04/13/17 02:00:01 PM,111.387,79.261,0.1527,0.0835
47,04/13/17 03:00:01 PM,105.136,85.577,0.1547,0.0844
48,04/13/17 04:00:01 PM,98.920,87.391,0.1562,0.0829
49,04/13/17 05:00:01 PM,85.217,80.008,0.1566,0.0787
50,04/13/17 06:00:01 PM,65.574,69.085,0.1570,0.0708
51,04/13/17 07:00:01 PM,52.860,55.690,0.1558,0.0646
52,04/13/17 08:00:01 PM,44.310,46.166,0.1547,0.0599
53,04/13/17 09:00:01 PM,42.247,43.579,0.1519,0.0581
54,04/13/17 10:00:01 PM,41.463,40.532,0.1499,0.0570
55,04/13/17 11:00:01 PM,46.031,44.856,0.1484,0.0574
56,04/14/17 12:00:01 AM,43.351,42.017,0.1466,0.0574
57,04/14/17 01:00:01 AM,44.263,43.075,0.1450,0.0570
58,04/14/17 02:00:01 AM,44.991,44.355,0.1425,0.0570
59,04/14/17 03:00:01 AM,44.400,43.488,0.1357,0.0570
60,04/14/17 04:00:01 AM,43.534,42.433,0.1107,0.0570
61,04/14/17 05:00:01 AM,42.478,41.369,0.1133,0.0570
62,04/14/17 06:00:01 AM,41.787,40.811,0.1014,0.0562
63,04/14/17 07:00:01 AM,41.740,41.137,0.0646,0.0562
64,04/14/17 08:00:01 AM,49.073,47.244,0.0341,0.0588
65,04/14/17 09:00:01 AM,58.195,52.335,-0.1639,0.0653
66,04/14/17 10:00:01 AM,63.561,54.995,0.0297,0.0684
67,04/14/17 11:00:01 AM,73.558,64.288,0.1416,0.0732
