"Plot Title: 10859627"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10859627, SEN S/N: 10836776)","Temp, °F (LGR S/N: 10859627, SEN S/N: 10836777)","Water Content, m³/m³ (LGR S/N: 10859627, SEN S/N: 10880728)","Water Content, m³/m³ (LGR S/N: 10859627, SEN S/N: 10880729)"
1,04/11/17 02:00:01 PM,105.343,114.067,0.1219,0.1153
2,04/11/17 03:00:01 PM,105.917,112.161,0.1229,0.1148
3,04/11/17 04:00:01 PM,98.087,102.214,0.1219,0.1117
4,04/11/17 05:00:01 PM,84.497,90.518,0.1209,0.1091
5,04/11/17 06:00:01 PM,-888.880,72.869,0.1189,0.1053
6,04/11/17 07:00:01 PM,-888.880,61.891,0.1164,0.1020
7,04/11/17 08:00:01 PM,-888.880,53.427,0.1148,0.0992
8,04/11/17 09:00:01 PM,-888.880,47.871,0.1128,0.0969
9,04/11/17 10:00:01 PM,43.351,46.526,0.1112,0.0963
10,04/11/17 11:00:01 PM,41.043,44.082,0.1107,0.0949
11,04/12/17 12:00:01 AM,40.204,43.259,0.1096,0.0943
12,04/12/17 01:00:01 AM,39.124,41.693,0.1096,0.0937
13,04/12/17 02:00:01 AM,-888.880,39.924,0.1091,0.0932
14,04/12/17 03:00:01 AM,-888.880,39.454,0.1085,0.0932
15,04/12/17 04:00:01 AM,-888.880,39.407,0.1080,0.0926
16,04/12/17 05:00:01 AM,-888.880,38.889,0.1075,0.0926
17,04/12/17 06:00:01 AM,-888.880,37.942,0.1075,0.0920
18,04/12/17 07:00:01 AM,-888.880,39.690,0.1069,0.0920
19,04/12/17 08:00:01 AM,61.977,51.809,0.1080,0.0949
20,04/12/17 09:00:01 AM,79.435,67.329,0.1112,0.0998
21,04/12/17 10:00:01 AM,94.800,80.757,0.1143,0.1053
22,04/12/17 11:00:01 AM,102.722,93.470,0.1174,0.1091
23,04/12/17 12:00:01 PM,108.885,106.282,0.1209,0.1128
24,04/12/17 01:00:01 PM,111.112,110.183,0.1237,0.1164
25,04/12/17 02:00:01 PM,114.863,125.449,0.1251,0.1194
26,04/12/17 03:00:01 PM,110.073,119.606,0.1256,0.1184
27,04/12/17 04:00:01 PM,85.442,90.333,0.1242,0.1122
28,04/12/17 05:00:01 PM,90.612,93.943,0.1237,0.1112
29,04/12/17 06:00:01 PM,-888.880,72.050,0.1199,0.1042
30,04/12/17 07:00:01 PM,-888.880,66.173,0.1174,0.1020
31,04/12/17 08:00:01 PM,-888.880,59.272,0.1148,0.0986
32,04/12/17 09:00:01 PM,-888.880,53.472,0.1128,0.0963
33,04/12/17 10:00:01 PM,-888.880,48.004,0.1117,0.0943
34,04/12/17 11:00:01 PM,-888.880,48.315,0.1101,0.0932
35,04/13/17 12:00:01 AM,-888.880,47.199,0.1091,0.0926
36,04/13/17 01:00:01 AM,-888.880,43.808,0.1085,0.0920
37,04/13/17 02:00:01 AM,48.493,48.850,0.1085,0.0926
38,04/13/17 03:00:01 AM,49.028,49.516,0.1085,0.0926
39,04/13/17 04:00:01 AM,-888.880,42.341,0.1080,0.0914
40,04/13/17 05:00:01 AM,-888.880,41.043,0.1075,0.0902
41,04/13/17 06:00:01 AM,-888.880,42.755,0.1064,0.0902
42,04/13/17 07:00:01 AM,46.301,46.974,0.1064,0.0914
43,04/13/17 08:00:01 AM,64.375,55.776,0.1075,0.0937
44,04/13/17 09:00:01 AM,60.517,57.850,0.1091,0.0949
45,04/13/17 10:00:01 AM,65.145,62.490,0.1107,0.0963
46,04/13/17 11:00:01 AM,71.920,67.413,0.1128,0.0986
47,04/13/17 12:00:01 PM,71.920,69.901,0.1133,0.0992
48,04/13/17 01:00:01 PM,80.096,74.424,0.1148,0.1014
49,04/13/17 02:00:01 PM,90.424,95.952,0.1179,0.1069
50,04/13/17 03:00:01 PM,92.856,100.009,0.1199,0.1080
51,04/13/17 04:00:01 PM,86.211,88.214,0.1204,0.1064
52,04/13/17 05:00:01 PM,76.158,79.831,0.1194,0.1031
53,04/13/17 06:00:01 PM,61.633,66.087,0.1159,0.0992
54,04/13/17 07:00:01 PM,53.078,56.512,0.1128,0.0961
55,04/13/17 08:00:01 PM,-888.880,49.028,0.1107,0.0920
56,04/13/17 09:00:01 PM,-888.880,46.121,0.1091,0.0908
57,04/13/17 10:00:01 PM,45.851,48.405,0.1085,0.0908
58,04/13/17 11:00:01 PM,47.154,48.182,0.1080,0.0908
59,04/14/17 12:00:01 AM,41.369,45.534,0.1080,0.0902
60,04/14/17 01:00:01 AM,42.939,45.399,0.1069,0.0893
61,04/14/17 02:00:01 AM,45.579,47.736,0.1069,0.0902
62,04/14/17 03:00:01 AM,44.674,46.751,0.1069,0.0896
63,04/14/17 04:00:01 AM,43.671,46.076,0.1064,0.0893
64,04/14/17 05:00:01 AM,43.030,45.354,0.1064,0.0887
65,04/14/17 06:00:01 AM,42.109,44.218,0.1058,0.0887
66,04/14/17 07:00:01 AM,41.740,43.075,0.1058,0.0887
67,04/14/17 08:00:01 AM,47.064,47.512,0.1058,0.0896
68,04/14/17 09:00:01 AM,52.992,52.509,0.1069,0.0908
69,04/14/17 10:00:01 AM,55.558,54.734,0.1080,0.0914
70,04/14/17 11:00:01 AM,76.681,73.861,0.1101,0.0949
71,04/14/17 12:00:01 PM,86.164,86.437,0.1148,0.1009
72,04/14/17 01:00:01 PM,92.433,95.374,0.1179,0.1053
73,04/14/17 02:00:01 PM,93.564,104.772,0.1194,0.1075
74,04/14/17 03:00:01 PM,93.848,103.640,0.1209,0.1075
75,04/14/17 04:00:01 PM,91.123,94.944,0.1209,0.1053
76,04/14/17 05:00:01 PM,75.551,83.021,0.1194,0.1014
77,04/14/17 06:00:01 PM,60.433,64.589,0.1159,0.0969
78,04/14/17 07:00:01 PM,51.062,54.909,0.1122,0.0932
79,04/14/17 08:00:01 PM,-888.880,45.714,0.1096,0.0902
80,04/14/17 09:00:01 PM,-888.880,41.925,0.1080,0.0887
81,04/14/17 10:00:01 PM,-888.880,40.298,0.1069,0.0875
82,04/14/17 11:00:01 PM,-888.880,39.078,0.1058,0.0863
83,04/15/17 12:00:01 AM,-888.880,37.274,0.1047,0.0857
84,04/15/17 01:00:01 AM,-888.880,36.217,0.1036,0.0850
85,04/15/17 02:00:01 AM,-888.880,37.321,0.1036,0.0857
86,04/15/17 03:00:01 AM,-888.880,34.810,0.1031,0.0844
87,04/15/17 04:00:01 AM,-888.880,34.468,0.1025,0.0841
88,04/15/17 05:00:01 AM,-888.880,34.371,0.1025,0.0841
89,04/15/17 06:00:01 AM,-888.880,31.892,0.1020,0.0835
90,04/15/17 07:00:01 AM,-888.880,34.615,0.1014,0.0835
91,04/15/17 08:00:01 AM,54.648,46.931,0.1025,0.0863
92,04/15/17 09:00:01 AM,78.471,64.288,0.1058,0.0926
93,04/15/17 10:00:01 AM,90.518,81.730,0.1101,0.0975
94,04/15/17 11:00:01 AM,95.518,95.040,0.1138,0.1009
95,04/15/17 12:00:01 PM,102.925,102.772,0.1174,0.1036
96,04/15/17 01:00:01 PM,104.670,106.808,0.1194,0.1069
97,04/15/17 02:00:01 PM,106.914,114.408,0.1214,0.1096
98,04/15/17 03:00:01 PM,105.708,112.329,0.1224,0.1091
