"Plot Title: 10859601"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10859601, SEN S/N: 10868963)","Temp, °F (LGR S/N: 10859601, SEN S/N: 10868972)","Water Content, m³/m³ (LGR S/N: 10859601, SEN S/N: 10879381)","Water Content, m³/m³ (LGR S/N: 10859601, SEN S/N: 10880714)"
1,04/11/17 08:00:01 AM,44.627,44.764,-0.0430,-0.1826
2,04/11/17 09:00:01 AM,54.604,55.038,-0.2362,-0.2250
3,04/11/17 10:00:01 AM,59.099,60.517,0.0490,0.1199
4,04/11/17 11:00:01 AM,68.185,77.945,0.0574,0.1219
5,04/11/17 12:00:01 PM,78.690,90.797,0.0684,0.1251
6,04/11/17 01:00:01 PM,98.184,106.336,0.0768,0.1285
7,04/11/17 02:00:01 PM,112.606,114.067,0.0810,0.1321
8,04/11/17 03:00:01 PM,121.921,107.020,0.0844,0.1347
9,04/11/17 04:00:01 PM,107.020,98.773,0.0822,0.1357
10,04/11/17 05:00:01 PM,92.527,91.636,0.0781,0.1357
11,04/11/17 06:00:01 PM,84.272,84.227,0.0725,0.1342
12,04/11/17 07:00:01 PM,73.083,67.842,0.0646,0.1321
13,04/11/17 08:00:01 PM,63.090,58.066,0.0588,0.1302
14,04/11/17 09:00:01 PM,59.099,53.427,0.0562,0.1276
15,04/11/17 10:00:01 PM,55.213,48.049,0.0536,0.1256
16,04/11/17 11:00:01 PM,52.072,45.534,0.0521,0.1242
17,04/12/17 12:00:01 AM,50.488,44.082,0.0509,0.1224
18,04/12/17 01:00:01 AM,49.870,44.082,0.0509,0.1214
19,04/12/17 02:00:01 AM,48.004,41.970,0.0509,0.1204
20,04/12/17 03:00:01 AM,46.706,40.811,0.0501,0.1199
21,04/12/17 04:00:01 AM,46.166,41.043,0.0509,0.1189
22,04/12/17 05:00:01 AM,44.400,37.942,0.0501,0.1184
23,04/12/17 06:00:01 AM,44.127,38.464,0.0501,0.1174
24,04/12/17 07:00:01 AM,43.763,39.736,0.0501,0.1169
25,04/12/17 08:00:01 AM,48.227,45.624,0.0528,0.1174
26,04/12/17 09:00:01 AM,53.427,60.733,0.0570,0.1189
27,04/12/17 10:00:01 AM,59.486,80.227,0.0664,0.1199
28,04/12/17 11:00:01 AM,70.543,91.029,0.0732,0.1214
29,04/12/17 12:00:01 PM,75.247,101.107,0.0787,0.1237
30,04/12/17 01:00:01 PM,104.877,114.237,0.0844,0.1266
31,04/12/17 02:00:01 PM,111.996,106.966,0.0850,0.1312
32,04/12/17 03:00:01 PM,108.777,99.167,0.0844,0.1331
33,04/12/17 04:00:01 PM,103.282,98.971,0.0835,0.1335
34,04/12/17 05:00:01 PM,102.367,99.266,0.0841,0.1347
35,04/12/17 06:00:01 PM,88.396,84.990,0.0762,0.1335
36,04/12/17 07:00:01 PM,76.332,68.527,0.0671,0.1312
37,04/12/17 08:00:01 PM,65.745,59.529,0.0614,0.1285
38,04/12/17 09:00:01 PM,61.248,55.863,0.0581,0.1261
39,04/12/17 10:00:01 PM,58.152,53.253,0.0570,0.1246
40,04/12/17 11:00:01 PM,55.819,50.709,0.0547,0.1229
41,04/13/17 12:00:01 AM,53.994,48.717,0.0547,0.1219
42,04/13/17 01:00:01 AM,52.992,49.073,0.0544,0.1204
43,04/13/17 02:00:01 AM,52.597,48.405,0.0536,0.1199
44,04/13/17 03:00:01 AM,49.383,43.259,0.0521,0.1189
45,04/13/17 04:00:01 AM,48.895,43.075,0.0521,0.1184
46,04/13/17 05:00:01 AM,48.049,42.847,0.0521,0.1179
47,04/13/17 06:00:01 AM,47.781,44.218,0.0528,0.1169
48,04/13/17 07:00:01 AM,49.338,47.154,0.0544,0.1169
49,04/13/17 08:00:01 AM,53.121,51.895,0.0570,0.1169
50,04/13/17 09:00:01 AM,61.248,66.087,0.0628,0.1189
51,04/13/17 10:00:01 AM,61.761,68.099,0.0664,0.1204
52,04/13/17 11:00:01 AM,58.798,62.533,0.0691,0.1184
53,04/13/17 12:00:01 PM,62.533,86.799,0.0762,0.1261
54,04/13/17 01:00:01 PM,82.530,89.132,0.0794,0.1271
55,04/13/17 02:00:01 PM,90.424,93.564,0.0803,0.1285
56,04/13/17 03:00:01 PM,89.776,86.799,0.0794,0.1297
57,04/13/17 04:00:01 PM,95.328,94.276,0.0822,0.1302
58,04/13/17 05:00:01 PM,86.664,88.443,0.0794,0.1307
59,04/13/17 06:00:01 PM,76.725,77.072,0.0725,0.1290
60,04/13/17 07:00:01 PM,66.857,61.506,0.0639,0.1271
61,04/13/17 08:00:01 PM,56.556,51.062,0.0574,0.1242
62,04/13/17 09:00:01 PM,52.641,47.422,0.0544,0.1214
63,04/13/17 10:00:01 PM,50.092,44.946,0.0528,0.1199
64,04/13/17 11:00:01 PM,46.661,39.736,0.0509,0.1199
65,04/14/17 12:00:01 AM,49.383,46.076,0.0528,0.1184
66,04/14/17 01:00:01 AM,49.649,47.691,0.0536,0.1184
67,04/14/17 02:00:01 AM,49.782,47.736,0.0544,0.1179
68,04/14/17 03:00:01 AM,49.428,46.974,0.0536,0.1174
69,04/14/17 04:00:01 AM,49.161,46.886,0.0536,0.1174
70,04/14/17 05:00:01 AM,46.211,40.438,0.0517,0.1169
71,04/14/17 06:00:01 AM,44.218,37.035,0.0494,0.1159
72,04/14/17 07:00:01 AM,43.763,39.454,0.0494,0.1153
73,04/14/17 08:00:01 AM,48.182,46.301,0.0521,0.1148
74,04/14/17 09:00:01 AM,52.597,57.463,0.0570,0.1153
75,04/14/17 10:00:01 AM,56.295,71.447,0.0632,0.1164
76,04/14/17 11:00:01 AM,63.304,82.175,0.0695,0.1174
77,04/14/17 12:00:01 PM,67.500,90.657,0.0752,0.1194
78,04/14/17 01:00:01 PM,86.346,95.088,0.0794,0.1209
79,04/14/17 02:00:01 PM,108.295,98.479,0.0829,0.1271
80,04/14/17 03:00:01 PM,112.885,98.283,0.0841,0.1302
81,04/14/17 04:00:01 PM,106.282,91.308,0.0822,0.1312
82,04/14/17 05:00:01 PM,93.281,90.703,0.0794,0.1312
83,04/14/17 06:00:01 PM,85.035,81.952,0.0732,0.1302
84,04/14/17 07:00:01 PM,73.213,64.760,0.0639,0.1271
85,04/14/17 08:00:01 PM,61.248,52.160,0.0562,0.1242
86,04/14/17 09:00:01 PM,56.079,46.974,0.0528,0.1209
87,04/14/17 10:00:01 PM,52.729,45.399,0.0509,0.1189
88,04/14/17 11:00:01 PM,50.400,43.945,0.0494,0.1169
89,04/15/17 12:00:01 AM,48.895,43.075,0.0490,0.1153
90,04/15/17 01:00:01 AM,47.109,41.277,0.0474,0.1143
91,04/15/17 02:00:01 AM,45.761,38.937,0.0470,0.1133
92,04/15/17 03:00:01 AM,44.537,38.131,0.0470,0.1122
93,04/15/17 04:00:01 AM,43.443,36.698,0.0462,0.1112
94,04/15/17 05:00:01 AM,42.800,36.410,0.0462,0.1101
