"Plot Title: 10859619"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10859619, SEN S/N: 10868935)","Water Content, m³/m³ (LGR S/N: 10859619, SEN S/N: 10880696)","Water Content, m³/m³ (LGR S/N: 10859619, SEN S/N: 10880697)"
1,04/11/17 04:00:01 PM,82.665,0.0691,0.0781
2,04/11/17 05:00:01 PM,78.076,0.0684,0.0762
3,04/11/17 06:00:01 PM,70.502,0.0653,0.0738
4,04/11/17 07:00:01 PM,61.590,0.0614,0.0722
5,04/11/17 08:00:01 PM,54.037,0.0581,0.0722
6,04/11/17 09:00:01 PM,47.736,0.0555,0.0722
7,04/11/17 10:00:01 PM,47.959,0.0547,0.0715
8,04/11/17 11:00:01 PM,40.064,0.0528,0.0702
9,04/12/17 12:00:01 AM,42.109,0.0528,0.0695
10,04/12/17 01:00:01 AM,40.719,0.0517,0.0691
11,04/12/17 02:00:01 AM,40.905,0.0509,0.0691
12,04/12/17 03:00:01 AM,40.626,0.0517,0.0691
13,04/12/17 04:00:01 AM,41.648,0.0517,0.0695
14,04/12/17 05:00:01 AM,41.648,0.0517,0.0695
15,04/12/17 06:00:01 AM,39.643,0.0509,0.0691
16,04/12/17 07:00:01 AM,40.951,0.0509,0.0691
17,04/12/17 08:00:01 AM,60.346,0.0574,0.0725
18,04/12/17 09:00:01 AM,70.072,0.0621,0.0781
19,04/12/17 10:00:01 AM,79.655,0.0671,0.0841
20,04/12/17 11:00:01 AM,82.308,0.0702,0.0875
21,04/12/17 12:00:01 PM,88.947,0.0702,0.0914
22,04/12/17 01:00:01 PM,92.291,0.0702,0.0932
23,04/12/17 02:00:01 PM,94.372,0.0715,0.0902
24,04/12/17 03:00:01 PM,93.375,0.0715,0.0875
25,04/12/17 04:00:01 PM,86.844,0.0691,0.0841
26,04/12/17 05:00:01 PM,78.910,0.0660,0.0810
27,04/12/17 06:00:01 PM,71.404,0.0639,0.0787
28,04/12/17 07:00:01 PM,62.319,0.0607,0.0752
29,04/12/17 08:00:01 PM,55.733,0.0581,0.0738
30,04/12/17 09:00:01 PM,47.557,0.0555,0.0722
31,04/12/17 10:00:01 PM,40.579,0.0536,0.0702
32,04/12/17 11:00:01 PM,36.651,0.0517,0.0691
33,04/13/17 12:00:01 AM,41.277,0.0517,0.0695
34,04/13/17 01:00:01 AM,37.609,0.0501,0.0691
35,04/13/17 02:00:01 AM,40.811,0.0501,0.0691
36,04/13/17 03:00:01 AM,46.256,0.0517,0.0695
37,04/13/17 04:00:01 AM,45.444,0.0521,0.0695
38,04/13/17 05:00:01 AM,36.217,0.0501,0.0691
39,04/13/17 06:00:01 AM,40.951,0.0494,0.0691
40,04/13/17 07:00:01 AM,43.900,0.0501,0.0691
41,04/13/17 08:00:01 AM,56.165,0.0555,0.0715
42,04/13/17 09:00:01 AM,61.677,0.0570,0.0722
43,04/13/17 10:00:01 AM,60.775,0.0614,0.0732
44,04/13/17 11:00:01 AM,72.567,0.0664,0.0758
45,04/13/17 12:00:01 PM,64.931,0.0664,0.0797
46,04/13/17 01:00:01 PM,77.072,0.0678,0.0810
47,04/13/17 02:00:01 PM,79.084,0.0691,0.0816
48,04/13/17 03:00:01 PM,79.655,0.0664,0.0810
49,04/13/17 04:00:01 PM,72.523,0.0639,0.0775
50,04/13/17 05:00:01 PM,68.484,0.0621,0.0752
51,04/13/17 06:00:01 PM,62.105,0.0599,0.0732
52,04/13/17 07:00:01 PM,52.466,0.0555,0.0702
53,04/13/17 08:00:01 PM,46.706,0.0528,0.0702
54,04/13/17 09:00:01 PM,43.579,0.0521,0.0702
55,04/13/17 10:00:01 PM,41.043,0.0509,0.0695
56,04/13/17 11:00:01 PM,44.901,0.0517,0.0695
57,04/14/17 12:00:01 AM,43.030,0.0509,0.0691
58,04/14/17 01:00:01 AM,43.167,0.0509,0.0691
59,04/14/17 02:00:01 AM,44.445,0.0509,0.0695
60,04/14/17 03:00:01 AM,43.534,0.0501,0.0695
61,04/14/17 04:00:01 AM,42.433,0.0501,0.0691
62,04/14/17 05:00:01 AM,41.369,0.0494,0.0695
63,04/14/17 06:00:01 AM,40.858,0.0494,0.0691
64,04/14/17 07:00:01 AM,41.416,0.0494,0.0702
65,04/14/17 08:00:01 AM,45.896,0.0517,0.0715
66,04/14/17 09:00:01 AM,48.717,0.0536,0.0732
67,04/14/17 10:00:01 AM,54.169,0.0570,0.0752
68,04/14/17 11:00:01 AM,58.411,0.0607,0.0775
69,04/14/17 12:00:01 PM,70.759,0.0660,0.0844
70,04/14/17 01:00:01 PM,75.853,0.0671,0.0881
71,04/14/17 02:00:01 PM,74.338,0.0653,0.0857
72,04/14/17 03:00:01 PM,71.834,0.0632,0.0829
73,04/14/17 04:00:01 PM,68.142,0.0621,0.0781
74,04/14/17 05:00:01 PM,64.117,0.0607,0.0758
75,04/14/17 06:00:01 PM,57.463,0.0581,0.0745
76,04/14/17 07:00:01 PM,49.870,0.0544,0.0715
77,04/14/17 08:00:01 PM,36.747,0.0509,0.0695
78,04/14/17 09:00:01 PM,31.188,0.0482,0.0678
