"Plot Title: 10859625"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10859625, SEN S/N: 10868977)","Water Content, m³/m³ (LGR S/N: 10859625, SEN S/N: 10880693)","Water Content, m³/m³ (LGR S/N: 10859625, SEN S/N: 10880732)"
1,04/11/17 01:00:01 PM,98.823,0.1159,0.1096
2,04/11/17 02:00:01 PM,105.291,0.1179,0.1128
3,04/11/17 03:00:01 PM,103.948,0.1184,0.7184
4,04/11/17 04:00:01 PM,96.386,0.1159,0.4870
5,04/11/17 05:00:01 PM,88.214,0.1133,-0.1441
6,04/11/17 06:00:01 PM,75.333,0.1107,-0.2594
7,04/11/17 07:00:01 PM,61.333,0.1075,0.3780
8,04/11/17 08:00:01 PM,52.203,0.1042,0.4380
9,04/11/17 09:00:01 PM,45.806,0.1025,0.7184
10,04/11/17 10:00:01 PM,43.214,0.1003,0.3441
11,04/11/17 11:00:01 PM,41.463,0.0998,0.3066
12,04/12/17 12:00:01 AM,40.204,0.0981,-0.1790
13,04/12/17 01:00:01 AM,39.220,0.0975,-0.3721
14,04/12/17 02:00:01 AM,37.465,0.0963,-0.4737
15,04/12/17 03:00:01 AM,37.081,0.0963,-0.4737
16,04/12/17 04:00:01 AM,37.130,0.0955,0.7184
17,04/12/17 05:00:01 AM,36.698,0.0955,0.3787
18,04/12/17 06:00:01 AM,35.346,0.0949,0.7184
19,04/12/17 07:00:01 AM,37.369,0.0949,0.7184
20,04/12/17 08:00:01 AM,51.458,0.0998,0.3877
21,04/12/17 09:00:01 AM,79.876,0.1053,0.3890
22,04/12/17 10:00:01 AM,93.943,0.1107,0.3269
23,04/12/17 11:00:01 AM,100.458,0.1143,0.6102
24,04/12/17 12:00:01 PM,107.922,0.1184,0.7184
25,04/12/17 01:00:01 PM,111.168,0.1204,0.1117
26,04/12/17 02:00:01 PM,116.359,0.1219,-0.4737
27,04/12/17 03:00:01 PM,110.509,0.1209,0.1148
28,04/12/17 04:00:01 PM,88.396,0.1169,-0.0025
29,04/12/17 05:00:01 PM,98.283,0.1164,0.0725
30,04/12/17 06:00:01 PM,74.163,0.1112,-0.2156
31,04/12/17 07:00:01 PM,65.444,0.1080,-0.1420
32,04/12/17 08:00:01 PM,57.549,0.1047,-0.1103
33,04/12/17 09:00:01 PM,49.825,0.1020,-0.3191
34,04/12/17 10:00:01 PM,44.856,0.0998,-0.1399
35,04/12/17 11:00:01 PM,45.624,0.0986,-0.2594
36,04/13/17 12:00:01 AM,43.167,0.0969,-0.1399
37,04/13/17 01:00:01 AM,39.549,0.0961,-0.3313
38,04/13/17 02:00:01 AM,47.736,0.0961,-0.2939
39,04/13/17 03:00:01 AM,48.493,0.0963,-0.3349
40,04/13/17 04:00:01 AM,38.700,0.0949,-0.4019
41,04/13/17 05:00:01 AM,36.698,0.0943,-0.4555
42,04/13/17 06:00:01 AM,40.251,0.0943,-0.4737
43,04/13/17 07:00:01 AM,46.121,0.0949,-0.4737
44,04/13/17 08:00:01 AM,55.647,0.0992,-0.3898
45,04/13/17 09:00:01 AM,58.582,0.0986,-0.4060
46,04/13/17 10:00:01 AM,65.359,0.1009,-0.0609
47,04/13/17 11:00:01 AM,70.416,0.1036,0.1434
48,04/13/17 12:00:01 PM,71.964,0.1047,0.0745
49,04/13/17 01:00:01 PM,79.347,0.1075,0.1656
50,04/13/17 02:00:01 PM,91.963,0.1117,0.1391
51,04/13/17 03:00:01 PM,95.711,0.1128,0.3062
52,04/13/17 04:00:01 PM,91.495,0.1112,0.2203
53,04/13/17 05:00:01 PM,84.182,0.1096,0.1312
54,04/13/17 06:00:01 PM,68.313,0.1058,0.0040
55,04/13/17 07:00:01 PM,54.909,0.1020,0.2471
56,04/13/17 08:00:01 PM,45.714,0.0986,0.0536
57,04/13/17 09:00:01 PM,43.167,0.0963,-0.1030
58,04/13/17 10:00:01 PM,46.346,0.0963,-0.1094
59,04/13/17 11:00:01 PM,47.467,0.0961,0.0247
60,04/14/17 12:00:01 AM,42.386,0.0949,0.0902
61,04/14/17 01:00:01 AM,43.443,0.0937,-0.3898
62,04/14/17 02:00:01 AM,46.031,0.0943,0.0384
63,04/14/17 03:00:01 AM,45.082,0.0937,0.0963
64,04/14/17 04:00:01 AM,43.900,0.0932,0.0581
65,04/14/17 05:00:01 AM,43.488,0.0932,-0.0259
66,04/14/17 06:00:01 AM,42.525,0.0932,0.0029
67,04/14/17 07:00:01 AM,42.294,0.0932,-0.0132
68,04/14/17 08:00:01 AM,47.512,0.0943,0.1321
69,04/14/17 09:00:01 AM,51.589,0.0961,0.1532
70,04/14/17 10:00:01 AM,54.343,0.0963,0.1503
71,04/14/17 11:00:01 AM,76.986,0.1020,0.2224
72,04/14/17 12:00:01 PM,81.775,0.1080,0.2736
73,04/14/17 01:00:01 PM,93.801,0.1117,0.2628
74,04/14/17 02:00:01 PM,95.711,0.1128,0.3946
75,04/14/17 03:00:01 PM,90.565,0.1122,0.3811
76,04/14/17 04:00:01 PM,92.151,0.1107,0.2691
77,04/14/17 05:00:01 PM,86.482,0.1080,0.2092
78,04/14/17 06:00:01 PM,66.900,0.1042,0.2315
79,04/14/17 07:00:01 PM,53.994,0.1003,0.2670
80,04/14/17 08:00:01 PM,43.716,0.0961,0.2512
81,04/14/17 09:00:01 PM,40.158,0.0932,0.1642
82,04/14/17 10:00:01 PM,36.120,0.0914,0.1718
83,04/14/17 11:00:01 PM,35.492,0.0914,0.2542
84,04/15/17 12:00:01 AM,34.810,0.0902,0.1843
85,04/15/17 01:00:01 AM,34.223,0.0896,0.1862
86,04/15/17 02:00:01 AM,34.371,0.0896,0.0969
87,04/15/17 03:00:01 AM,31.692,0.0887,0.1143
88,04/15/17 04:00:01 AM,31.642,0.0881,0.2126
89,04/15/17 05:00:01 AM,31.289,0.0875,0.2056
90,04/15/17 06:00:01 AM,29.509,0.0869,0.2174
91,04/15/17 07:00:01 AM,31.892,0.0869,0.2269
92,04/15/17 08:00:01 AM,46.256,0.0937,0.2367
93,04/15/17 09:00:01 AM,76.419,0.0986,0.2358
94,04/15/17 10:00:01 AM,84.587,0.1031,0.2169
95,04/15/17 11:00:01 AM,90.009,0.1069,0.2403
96,04/15/17 12:00:01 PM,97.500,0.1112,0.2399
97,04/15/17 01:00:01 PM,102.164,0.1133,0.2148
98,04/15/17 02:00:01 PM,101.458,0.1143,0.2291
99,04/15/17 03:00:01 PM,102.114,0.1133,0.1765
100,04/15/17 04:00:01 PM,96.435,0.1107,0.1532
101,04/15/17 05:00:01 PM,86.482,0.1080,0.1396
102,04/15/17 06:00:01 PM,70.759,0.1036,0.1331
103,04/15/17 07:00:01 PM,60.561,0.1003,0.1271
104,04/15/17 08:00:01 PM,52.072,0.0963,0.1224
105,04/15/17 09:00:01 PM,49.249,0.0949,0.1199
106,04/15/17 10:00:01 PM,46.841,0.0932,0.1184
107,04/15/17 11:00:01 PM,44.582,0.0920,0.1179
108,04/16/17 12:00:01 AM,43.534,0.0908,0.1164
109,04/16/17 01:00:01 AM,41.832,0.0896,0.1148
110,04/16/17 02:00:01 AM,39.407,0.0893,0.1148
111,04/16/17 03:00:01 AM,38.889,0.0887,0.1143
112,04/16/17 04:00:01 AM,40.579,0.0881,0.1128
113,04/16/17 05:00:01 AM,37.751,0.0875,0.1128
114,04/16/17 06:00:01 AM,39.173,0.0875,0.1112
115,04/16/17 07:00:01 AM,44.627,0.0887,0.1112
116,04/16/17 08:00:01 AM,55.299,0.0937,0.1148
117,04/16/17 09:00:01 AM,86.437,0.1009,0.1169
118,04/16/17 10:00:01 AM,100.657,0.1069,0.1025
119,04/16/17 11:00:01 AM,110.565,0.1112,0.3408
120,04/16/17 12:00:01 PM,115.551,0.1148,0.2806
121,04/16/17 01:00:01 PM,112.717,0.1148,0.1514
122,04/16/17 02:00:01 PM,111.168,0.1159,0.1091
123,04/16/17 03:00:01 PM,110.073,0.1138,0.1064
124,04/16/17 04:00:01 PM,100.857,0.1107,0.1047
125,04/16/17 05:00:01 PM,83.869,0.1064,0.0992
126,04/16/17 06:00:01 PM,74.295,0.1031,0.0961
127,04/16/17 07:00:01 PM,66.000,0.1003,0.0926
128,04/16/17 08:00:01 PM,59.959,0.0969,0.0902
129,04/16/17 09:00:01 PM,57.979,0.0961,0.0887
130,04/16/17 10:00:01 PM,55.515,0.0937,0.0875
131,04/16/17 11:00:01 PM,50.841,0.0920,0.0863
