"Plot Title: 10859606"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 10859606, SEN S/N: 10879392)","Water Content, m³/m³ (LGR S/N: 10859606, SEN S/N: 10879396)"
1,04/11/17 03:00:01 PM,0.0596,0.0614
2,04/11/17 04:00:01 PM,0.0544,0.0588
3,04/11/17 05:00:01 PM,0.0536,0.0596
4,04/11/17 06:00:01 PM,0.0474,0.0574
5,04/11/17 07:00:01 PM,0.0392,0.0490
6,04/11/17 08:00:01 PM,0.0341,0.0442
7,04/11/17 09:00:01 PM,0.0306,0.0421
8,04/11/17 10:00:01 PM,0.0274,0.0405
9,04/11/17 11:00:01 PM,0.0261,0.0384
10,04/12/17 12:00:01 AM,0.0247,0.0375
11,04/12/17 01:00:01 AM,0.0228,0.0375
12,04/12/17 02:00:01 AM,0.0238,0.0375
13,04/12/17 03:00:01 AM,0.0224,0.0371
14,04/12/17 04:00:01 AM,0.0224,0.0371
15,04/12/17 05:00:01 AM,0.0214,0.0363
16,04/12/17 06:00:01 AM,0.0205,0.0363
17,04/12/17 07:00:01 AM,0.0205,0.0363
18,04/12/17 08:00:01 AM,0.0274,0.0434
19,04/12/17 09:00:01 AM,0.0375,0.0482
20,04/12/17 10:00:01 AM,0.0454,0.0517
21,04/12/17 11:00:01 AM,0.0517,0.0547
22,04/12/17 12:00:01 PM,0.0562,0.0570
23,04/12/17 01:00:01 PM,0.0599,0.0588
24,04/12/17 02:00:01 PM,0.0614,0.0621
25,04/12/17 03:00:01 PM,0.0628,0.0632
26,04/12/17 04:00:01 PM,0.0570,0.0599
27,04/12/17 05:00:01 PM,0.0494,0.0562
28,04/12/17 06:00:01 PM,0.0446,0.0555
29,04/12/17 07:00:01 PM,0.0384,0.0490
30,04/12/17 08:00:01 PM,0.0328,0.0425
31,04/12/17 09:00:01 PM,0.0288,0.0401
32,04/12/17 10:00:01 PM,0.0261,0.0375
33,04/12/17 11:00:01 PM,0.0228,0.0363
34,04/13/17 12:00:01 AM,0.0214,0.0354
35,04/13/17 01:00:01 AM,0.0200,0.0341
36,04/13/17 02:00:01 AM,0.0205,0.0341
37,04/13/17 03:00:01 AM,0.0224,0.0363
38,04/13/17 04:00:01 AM,0.0224,0.0363
39,04/13/17 05:00:01 AM,0.0200,0.0350
40,04/13/17 06:00:01 AM,0.0186,0.0328
41,04/13/17 07:00:01 AM,0.0200,0.0332
42,04/13/17 08:00:01 AM,0.0247,0.0392
43,04/13/17 09:00:01 AM,0.0274,0.0401
44,04/13/17 10:00:01 AM,0.0283,0.0413
45,04/13/17 11:00:01 AM,0.0341,0.0462
46,04/13/17 12:00:01 PM,0.0405,0.0474
47,04/13/17 01:00:01 PM,0.0421,0.0494
48,04/13/17 02:00:01 PM,0.0446,0.0494
49,04/13/17 03:00:01 PM,0.0490,0.0521
50,04/13/17 04:00:01 PM,0.0482,0.0544
51,04/13/17 05:00:01 PM,0.0454,0.0544
52,04/13/17 06:00:01 PM,0.0375,0.0490
53,04/13/17 07:00:01 PM,0.0310,0.0413
54,04/13/17 08:00:01 PM,0.0261,0.0363
55,04/13/17 09:00:01 PM,0.0228,0.0350
56,04/13/17 10:00:01 PM,0.0205,0.0341
57,04/13/17 11:00:01 PM,0.0224,0.0341
58,04/14/17 12:00:01 AM,0.0214,0.0341
59,04/14/17 01:00:01 AM,0.0205,0.0341
60,04/14/17 02:00:01 AM,0.0214,0.0341
61,04/14/17 03:00:01 AM,0.0205,0.0319
62,04/14/17 04:00:01 AM,0.0200,0.0310
63,04/14/17 05:00:01 AM,0.0190,0.0310
64,04/14/17 06:00:01 AM,0.0200,0.0310
65,04/14/17 07:00:01 AM,0.0190,0.0310
