"Plot Title: 10859607"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 10859607, SEN S/N: 10879365)","Water Content, m³/m³ (LGR S/N: 10859607, SEN S/N: 10879394)"
1,04/10/17 05:00:01 PM,0.1923,0.1459
2,04/10/17 06:00:01 PM,0.1913,0.1459
3,04/10/17 07:00:01 PM,0.1891,0.1459
4,04/10/17 08:00:01 PM,0.1872,0.1466
5,04/10/17 09:00:01 PM,0.1859,0.1459
6,04/10/17 10:00:01 PM,0.1840,0.1466
7,04/10/17 11:00:01 PM,0.1826,0.1459
8,04/11/17 12:00:01 AM,0.1813,0.1455
9,04/11/17 01:00:01 AM,0.1803,0.1455
10,04/11/17 02:00:01 AM,0.1793,0.1450
11,04/11/17 03:00:01 AM,0.1779,0.1450
12,04/11/17 04:00:01 AM,0.1775,0.1446
13,04/11/17 05:00:01 AM,0.1769,0.1441
14,04/11/17 06:00:01 AM,0.1762,0.1446
15,04/11/17 07:00:01 AM,0.1756,0.1446
16,04/11/17 08:00:01 AM,0.1752,0.1434
17,04/11/17 09:00:01 AM,0.1756,0.1430
18,04/11/17 10:00:01 AM,0.1765,0.1425
19,04/11/17 11:00:01 AM,0.1769,0.1421
20,04/11/17 12:00:01 PM,0.1793,0.1405
21,04/11/17 01:00:01 PM,0.1820,0.1416
22,04/11/17 02:00:01 PM,0.1862,0.1430
23,04/11/17 03:00:01 PM,0.1881,0.1434
24,04/11/17 04:00:01 PM,0.1885,0.1441
25,04/11/17 05:00:01 PM,0.1891,0.1450
26,04/11/17 06:00:01 PM,0.1876,0.1450
27,04/11/17 07:00:01 PM,0.1866,0.1450
28,04/11/17 08:00:01 PM,0.1849,0.1459
29,04/11/17 09:00:01 PM,0.1836,0.1455
30,04/11/17 10:00:01 PM,0.1820,0.1455
31,04/11/17 11:00:01 PM,0.1807,0.1450
32,04/12/17 12:00:01 AM,0.1793,0.1450
33,04/12/17 01:00:01 AM,0.1783,0.1446
34,04/12/17 02:00:01 AM,0.1775,0.1446
35,04/12/17 03:00:01 AM,0.1765,0.1441
36,04/12/17 04:00:01 AM,0.1762,0.1441
37,04/12/17 05:00:01 AM,0.1756,0.1441
38,04/12/17 06:00:01 AM,0.1746,0.1434
39,04/12/17 07:00:01 AM,0.1742,0.1434
40,04/12/17 08:00:01 AM,0.1732,0.1430
41,04/12/17 09:00:01 AM,0.1728,0.1421
42,04/12/17 10:00:01 AM,0.1742,0.1412
43,04/12/17 11:00:01 AM,0.1779,0.1416
44,04/12/17 12:00:01 PM,0.1813,0.1416
45,04/12/17 01:00:01 PM,0.1843,0.1416
46,04/12/17 02:00:01 PM,0.1872,0.1425
47,04/12/17 03:00:01 PM,0.1895,0.1434
48,04/12/17 04:00:01 PM,0.1885,0.1446
49,04/12/17 05:00:01 PM,0.1891,0.1446
50,04/12/17 06:00:01 PM,0.1898,0.1450
