"Plot Title: 10859610"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10859610, SEN S/N: 10868969)","Water Content, m³/m³ (LGR S/N: 10859610, SEN S/N: 10879376)","Water Content, m³/m³ (LGR S/N: 10859610, SEN S/N: 10879378)"
98,04/15/17 11:00:01 AM,89.593,-0.4737,0.1714
99,04/15/17 12:00:01 PM,97.209,0.2029,0.1728
100,04/15/17 01:00:01 PM,102.114,0.1963,0.1738
101,04/15/17 02:00:01 PM,109.585,0.2100,0.1752
102,04/15/17 03:00:01 PM,113.616,0.2156,0.1762
103,04/15/17 04:00:01 PM,104.360,0.2203,0.1779
104,04/15/17 05:00:01 PM,96.337,0.2216,0.1793
105,04/15/17 06:00:01 PM,86.709,0.2195,0.1789
106,04/15/17 07:00:01 PM,73.904,0.2153,0.1793
107,04/15/17 08:00:01 PM,60.174,0.2100,0.1789
108,04/15/17 09:00:01 PM,50.886,0.1891,0.1779
109,04/15/17 10:00:01 PM,50.709,0.2131,0.1769
110,04/15/17 11:00:01 PM,48.983,0.2104,0.1756
111,04/16/17 12:00:01 AM,49.249,0.2083,0.1756
112,04/16/17 01:00:01 AM,46.796,0.2070,0.1746
113,04/16/17 02:00:01 AM,42.017,0.2056,0.1742
114,04/16/17 03:00:01 AM,43.808,0.2038,0.1738
115,04/16/17 04:00:01 AM,43.671,0.2029,0.1732
116,04/16/17 05:00:01 AM,41.369,0.2020,0.1728
117,04/16/17 06:00:01 AM,41.043,-0.4737,0.1724
118,04/16/17 07:00:01 AM,43.167,0.1999,0.1718
119,04/16/17 08:00:01 AM,47.557,0.1985,0.1718
120,04/16/17 09:00:01 AM,61.462,0.1958,0.1709
121,04/16/17 10:00:01 AM,71.661,0.1963,0.1699
122,04/16/17 11:00:01 AM,88.579,0.1967,0.1699
123,04/16/17 12:00:01 PM,102.621,0.1990,0.1699
124,04/16/17 01:00:01 PM,99.959,0.0902,0.1709
125,04/16/17 02:00:01 PM,88.167,0.2122,0.1742
126,04/16/17 03:00:01 PM,84.857,0.2126,0.1746
127,04/16/17 04:00:01 PM,81.642,0.2117,0.1746
128,04/16/17 05:00:01 PM,74.206,0.2117,0.1746
129,04/16/17 06:00:01 PM,67.798,0.2109,0.1746
130,04/16/17 07:00:01 PM,63.048,0.1967,0.1746
131,04/16/17 08:00:01 PM,59.014,0.2078,0.1738
132,04/16/17 09:00:01 PM,56.944,0.2061,0.1732
133,04/16/17 10:00:01 PM,52.947,0.2047,0.1728
134,04/16/17 11:00:01 PM,55.168,0.2035,0.1724
135,04/17/17 12:00:01 AM,55.299,0.2020,0.1714
136,04/17/17 01:00:01 AM,55.906,0.1058,0.1714
137,04/17/17 02:00:01 AM,55.949,0.2012,0.1714
138,04/17/17 03:00:01 AM,54.865,0.1985,0.1709
139,04/17/17 04:00:01 AM,53.776,0.1994,0.1709
140,04/17/17 05:00:01 AM,50.268,0.1999,0.1709
141,04/17/17 06:00:01 AM,53.602,0.1148,0.1703
142,04/17/17 07:00:01 AM,54.169,0.1972,0.1699
143,04/17/17 08:00:01 AM,58.498,0.1479,0.1699
144,04/17/17 09:00:01 AM,70.459,-0.4737,0.1689
145,04/17/17 10:00:01 AM,82.708,0.1566,0.1689
146,04/17/17 11:00:01 AM,87.847,0.1724,0.1695
147,04/17/17 12:00:01 PM,92.104,0.1604,0.1703
148,04/17/17 01:00:01 PM,82.530,0.1803,0.1732
149,04/17/17 02:00:01 PM,89.040,0.1779,0.1732
150,04/17/17 03:00:01 PM,93.564,0.1783,0.1728
151,04/17/17 04:00:01 PM,92.997,0.1843,0.1732
152,04/17/17 05:00:01 PM,89.499,0.1932,0.1742
153,04/17/17 06:00:01 PM,83.601,0.1939,0.1742
154,04/17/17 07:00:01 PM,66.344,0.1853,0.1752
155,04/17/17 08:00:01 PM,62.748,0.1775,0.1746
156,04/17/17 09:00:01 PM,60.775,0.1648,0.1738
157,04/17/17 10:00:01 PM,59.014,0.1590,0.1732
158,04/17/17 11:00:01 PM,57.765,0.1581,0.1724
159,04/18/17 12:00:01 AM,56.469,0.1558,0.1718
160,04/18/17 01:00:01 AM,55.472,0.1519,0.1714
161,04/18/17 02:00:01 AM,57.247,0.1615,0.1709
162,04/18/17 03:00:01 AM,57.636,0.1558,0.1703
