"Plot Title: 10859595"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10859595, SEN S/N: 10868938)","Temp, °F (LGR S/N: 10859595, SEN S/N: 10868956)","Water Content, m³/m³ (LGR S/N: 10859595, SEN S/N: 10879369)","Water Content, m³/m³ (LGR S/N: 10859595, SEN S/N: 11000470)"
1,04/10/17 04:49:56 PM,86.617,79.743,-0.2763,-0.2874
2,04/10/17 05:49:56 PM,82.353,85.035,0.0762,0.0844
3,04/10/17 06:49:56 PM,68.013,74.338,0.0725,0.0822
4,04/10/17 07:49:56 PM,53.908,58.842,0.0695,0.0758
5,04/10/17 08:49:56 PM,47.334,55.125,0.0671,0.0745
6,04/10/17 09:49:56 PM,47.557,52.509,0.0664,0.0725
7,04/10/17 10:49:56 PM,48.405,52.378,0.0653,0.0715
8,04/10/17 11:49:56 PM,46.076,50.135,0.0632,0.0708
9,04/11/17 12:49:56 AM,44.901,48.004,0.0632,0.0695
10,04/11/17 01:49:56 AM,43.534,46.661,0.0621,0.0695
11,04/11/17 02:49:56 AM,42.570,46.301,0.0614,0.0691
12,04/11/17 03:49:56 AM,39.830,44.946,0.0607,0.0684
13,04/11/17 04:49:56 AM,38.415,43.259,0.0599,0.0678
14,04/11/17 05:49:56 AM,39.173,42.478,0.0588,0.0678
15,04/11/17 06:49:56 AM,40.111,41.832,0.0581,0.0678
16,04/11/17 07:49:56 AM,49.959,47.334,0.0596,0.0691
17,04/11/17 08:49:56 AM,56.122,49.338,0.0607,0.0708
18,04/11/17 09:49:56 AM,61.677,54.169,0.0621,0.0715
19,04/11/17 10:49:56 AM,81.154,62.962,0.0639,0.0752
20,04/11/17 11:49:56 AM,102.317,75.074,0.0684,0.0794
21,04/11/17 12:49:56 PM,115.207,84.182,0.0725,0.0829
22,04/11/17 01:49:56 PM,105.656,82.931,0.0762,0.0835
23,04/11/17 02:49:56 PM,111.774,89.316,0.0787,0.0844
24,04/11/17 03:49:56 PM,100.857,91.776,0.0803,0.0863
25,04/11/17 04:49:56 PM,90.194,87.710,0.0794,0.0863
26,04/11/17 05:49:56 PM,79.347,82.530,0.0775,0.0850
27,04/11/17 06:49:56 PM,66.472,70.416,0.0738,0.0816
28,04/11/17 07:49:56 PM,56.035,59.358,0.0708,0.0768
29,04/11/17 08:49:56 PM,52.072,55.863,0.0695,0.0752
30,04/11/17 09:49:56 PM,46.886,52.509,0.0691,0.0732
31,04/11/17 10:49:56 PM,44.173,50.533,0.0671,0.0722
32,04/11/17 11:49:56 PM,42.616,47.199,0.0664,0.0708
33,04/12/17 12:49:56 AM,43.671,47.826,0.0646,0.0702
34,04/12/17 01:49:56 AM,43.075,46.841,0.0639,0.0702
35,04/12/17 02:49:56 AM,40.764,45.941,0.0632,0.0695
36,04/12/17 03:49:56 AM,42.294,45.714,0.0632,0.0691
37,04/12/17 04:49:56 AM,37.179,40.345,0.0621,0.0684
38,04/12/17 05:49:56 AM,36.795,40.626,0.0614,0.0684
39,04/12/17 06:49:56 AM,37.274,40.764,0.0607,0.0678
40,04/12/17 07:49:56 AM,51.678,47.422,0.0607,0.0691
41,04/12/17 08:49:56 AM,66.472,55.299,0.0632,0.0708
42,04/12/17 09:49:56 AM,84.227,62.704,0.0671,0.0745
43,04/12/17 10:49:56 AM,93.943,69.771,0.0708,0.0762
44,04/12/17 11:49:56 AM,99.712,78.296,0.0738,0.0797
45,04/12/17 12:49:56 PM,107.020,82.486,0.0775,0.0841
46,04/12/17 01:49:56 PM,106.862,82.798,0.0803,0.0835
47,04/12/17 02:49:56 PM,103.129,86.074,0.0829,0.0835
48,04/12/17 03:49:56 PM,102.164,92.244,0.0841,0.0850
49,04/12/17 04:49:56 PM,101.962,95.518,0.0844,0.0875
50,04/12/17 05:49:56 PM,82.308,82.175,0.0829,0.0857
51,04/12/17 06:49:56 PM,68.142,72.050,0.0787,0.0822
52,04/12/17 07:49:56 PM,56.251,59.529,0.0758,0.0768
53,04/12/17 08:49:56 PM,54.430,57.376,0.0738,0.0745
54,04/12/17 09:49:56 PM,51.895,54.777,0.0715,0.0732
55,04/12/17 10:49:56 PM,49.471,52.597,0.0702,0.0725
56,04/12/17 11:49:56 PM,48.360,51.721,0.0695,0.0722
57,04/13/17 12:49:56 AM,48.762,51.017,0.0684,0.0722
58,04/13/17 01:49:56 AM,48.405,50.752,0.0678,0.0708
59,04/13/17 02:49:56 AM,42.847,47.647,0.0664,0.0702
60,04/13/17 03:49:56 AM,43.853,46.974,0.0653,0.0702
61,04/13/17 04:49:56 AM,43.214,46.031,0.0646,0.0695
62,04/13/17 05:49:56 AM,45.354,47.199,0.0639,0.0695
63,04/13/17 06:49:56 AM,46.706,48.628,0.0639,0.0702
