"Plot Title: 10859626"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10859626, SEN S/N: 10868978)","Temp, °F (LGR S/N: 10859626, SEN S/N: 10868979)","Water Content, m³/m³ (LGR S/N: 10859626, SEN S/N: 10880691)","Water Content, m³/m³ (LGR S/N: 10859626, SEN S/N: 10880692)"
1,04/11/17 01:00:01 PM,113.166,114.067,-0.0047,0.1009
2,04/11/17 02:00:01 PM,133.273,110.019,-0.0008,0.1036
3,04/11/17 03:00:01 PM,132.498,112.942,-0.0003,0.1053
4,04/11/17 04:00:01 PM,110.509,100.607,-0.0036,0.1014
5,04/11/17 05:00:01 PM,97.696,89.731,-0.0069,0.1003
6,04/11/17 06:00:01 PM,80.051,76.811,-0.0138,0.0975
7,04/11/17 07:00:01 PM,68.400,64.546,-0.0222,0.0937
8,04/11/17 08:00:01 PM,-888.880,56.685,-0.0265,0.0908
9,04/11/17 09:00:01 PM,-888.880,50.664,-0.0297,0.0887
10,04/11/17 10:00:01 PM,-888.880,48.405,-0.0316,0.0881
11,04/11/17 11:00:01 PM,-888.880,46.391,-0.0329,0.0863
12,04/12/17 12:00:01 AM,-888.880,45.307,-0.0329,0.0850
13,04/12/17 01:00:01 AM,-888.880,43.214,-0.0342,0.0844
14,04/12/17 02:00:01 AM,-888.880,42.433,-0.0349,0.0841
15,04/12/17 03:00:01 AM,-888.880,41.648,-0.0349,0.0835
16,04/12/17 04:00:01 AM,-888.880,41.369,-0.0349,0.0835
17,04/12/17 05:00:01 AM,-888.880,40.905,-0.0362,0.0829
18,04/12/17 06:00:01 AM,-888.880,39.360,-0.0369,0.0822
19,04/12/17 07:00:01 AM,-888.880,41.369,-0.0362,0.0822
20,04/12/17 08:00:01 AM,-888.880,50.797,-0.0323,0.0857
21,04/12/17 09:00:01 AM,-888.880,63.475,-0.0247,0.0902
22,04/12/17 10:00:01 AM,-888.880,80.227,-0.0185,0.0963
23,04/12/17 11:00:01 AM,-888.880,96.966,-0.0120,0.0975
24,04/12/17 12:00:01 PM,-888.880,109.585,-0.0036,0.1031
25,04/12/17 01:00:01 PM,-888.880,122.045,0.0024,0.1064
26,04/12/17 02:00:01 PM,-888.880,118.531,0.0029,0.1075
27,04/12/17 03:00:01 PM,-888.880,118.591,0.0040,0.1064
28,04/12/17 04:00:01 PM,-888.880,92.856,-0.0036,0.1031
29,04/12/17 05:00:01 PM,-888.880,94.944,-0.0036,0.1036
30,04/12/17 06:00:01 PM,-888.880,74.250,-0.0156,0.0975
31,04/12/17 07:00:01 PM,-888.880,68.270,-0.0203,0.0949
32,04/12/17 08:00:01 PM,-888.880,59.959,-0.0247,0.0914
