"Plot Title: 10859630"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 10859630, SEN S/N: 10868974)","Temp, °F (LGR S/N: 10859630, SEN S/N: 10868975)","Water Content, m³/m³ (LGR S/N: 10859630, SEN S/N: 10880730)","Water Content, m³/m³ (LGR S/N: 10859630, SEN S/N: 10880731)"
1,04/11/17 02:00:01 PM,107.550,93.281,0.1312,0.0401
2,04/11/17 03:00:01 PM,113.277,95.472,0.1326,0.0421
3,04/11/17 04:00:01 PM,102.114,85.442,0.1335,0.0401
4,04/11/17 05:00:01 PM,91.123,81.421,0.1342,0.0392
5,04/11/17 06:00:01 PM,82.753,74.899,0.1347,0.0363
6,04/11/17 07:00:01 PM,65.701,60.733,0.1347,0.0261
7,04/11/17 08:00:01 PM,53.253,52.772,0.1347,0.0205
8,04/11/17 09:00:01 PM,46.841,46.211,0.1335,0.0166
9,04/11/17 10:00:01 PM,45.217,43.671,0.1331,0.0147
10,04/11/17 11:00:01 PM,42.984,41.693,0.1326,-0.4737
11,04/12/17 12:00:01 AM,41.740,40.251,0.1321,0.0122
12,04/12/17 01:00:01 AM,40.017,39.454,0.1321,-0.4737
13,04/12/17 02:00:01 AM,38.842,37.369,0.1317,0.0097
14,04/12/17 03:00:01 AM,38.415,36.795,0.1312,-0.4737
15,04/12/17 04:00:01 AM,38.606,37.035,0.1307,0.0087
16,04/12/17 05:00:01 AM,38.511,36.651,0.1302,0.0087
17,04/12/17 06:00:01 AM,36.891,35.346,0.1302,0.0081
18,04/12/17 07:00:01 AM,38.842,37.416,0.1297,0.0087
19,04/12/17 08:00:01 AM,47.914,51.589,0.1297,0.0137
20,04/12/17 09:00:01 AM,55.125,77.292,0.1290,0.0270
21,04/12/17 10:00:01 AM,60.861,88.534,0.1290,0.0332
22,04/12/17 11:00:01 AM,70.846,92.480,0.1290,0.0341
23,04/12/17 12:00:01 PM,79.261,102.164,0.1290,0.0384
24,04/12/17 01:00:01 PM,94.896,100.060,0.1297,0.0421
25,04/12/17 02:00:01 PM,120.574,110.619,0.1302,0.0446
26,04/12/17 03:00:01 PM,117.527,99.959,0.1317,0.0442
27,04/12/17 04:00:01 PM,96.337,83.824,0.1331,0.0405
28,04/12/17 05:00:01 PM,91.589,88.579,0.1335,0.0405
29,04/12/17 06:00:01 PM,74.467,74.986,0.1342,0.0310
30,04/12/17 07:00:01 PM,69.386,65.916,0.1342,0.0274
31,04/12/17 08:00:01 PM,57.936,57.807,0.1335,0.0224
32,04/12/17 09:00:01 PM,50.974,51.458,0.1331,0.0186
33,04/12/17 10:00:01 PM,-888.880,45.489,0.1321,0.0152
34,04/12/17 11:00:01 PM,-888.880,47.019,0.1321,0.0147
35,04/13/17 12:00:01 AM,-888.880,44.400,0.1317,0.0137
36,04/13/17 01:00:01 AM,-888.880,41.090,0.1312,0.0112
37,04/13/17 02:00:01 AM,-888.880,48.049,0.1307,0.0137
38,04/13/17 03:00:01 AM,-888.880,48.315,0.1307,0.0147
39,04/13/17 04:00:01 AM,-888.880,39.690,0.1302,0.0107
40,04/13/17 05:00:01 AM,-888.880,36.939,0.1297,0.0097
41,04/13/17 06:00:01 AM,-888.880,41.137,0.1297,0.0107
42,04/13/17 07:00:01 AM,-888.880,46.974,0.1290,0.0127
43,04/13/17 08:00:01 AM,-888.880,55.819,0.1290,0.0161
44,04/13/17 09:00:01 AM,-888.880,57.376,0.1290,0.0176
45,04/13/17 10:00:01 AM,-888.880,63.689,0.1285,0.0214
46,04/13/17 11:00:01 AM,-888.880,67.071,0.1285,0.0252
47,04/13/17 12:00:01 PM,-888.880,69.557,0.1290,0.0261
48,04/13/17 01:00:01 PM,-888.880,71.748,0.1290,0.0288
49,04/13/17 02:00:01 PM,-888.880,80.713,0.1290,0.0310
50,04/13/17 03:00:01 PM,-888.880,86.164,0.1297,0.0350
51,04/13/17 04:00:01 PM,-888.880,81.376,0.1302,0.0354
52,04/13/17 05:00:01 PM,-888.880,79.655,0.1312,0.0354
53,04/13/17 06:00:01 PM,-888.880,71.017,0.1317,0.0319
54,04/13/17 07:00:01 PM,-888.880,54.995,0.1317,0.0224
55,04/13/17 08:00:01 PM,-888.880,47.602,0.1312,0.0166
56,04/13/17 09:00:01 PM,-888.880,43.671,0.1307,0.0147
57,04/13/17 10:00:01 PM,-888.880,46.571,0.1302,0.0147
58,04/13/17 11:00:01 PM,-888.880,46.974,0.1302,0.0147
59,04/14/17 12:00:01 AM,-888.880,43.396,0.1297,0.0122
60,04/14/17 01:00:01 AM,-888.880,43.488,0.1285,0.0122
61,04/14/17 02:00:01 AM,-888.880,45.036,0.1285,0.0127
62,04/14/17 03:00:01 AM,-888.880,43.990,0.1285,0.0122
63,04/14/17 04:00:01 AM,-888.880,42.939,0.1281,0.0122
64,04/14/17 05:00:01 AM,-888.880,42.386,0.1281,0.0112
65,04/14/17 06:00:01 AM,-888.880,41.369,0.1281,0.0112
66,04/14/17 07:00:01 AM,-888.880,41.554,0.1276,0.0112
67,04/14/17 08:00:01 AM,-888.880,45.669,0.1276,0.0137
68,04/14/17 09:00:01 AM,-888.880,48.805,0.1276,0.0152
69,04/14/17 10:00:01 AM,-888.880,50.180,0.1276,0.0166
70,04/14/17 11:00:01 AM,-888.880,66.985,0.1276,0.0261
71,04/14/17 12:00:01 PM,-888.880,66.857,0.1276,0.0297
72,04/14/17 01:00:01 PM,-888.880,75.508,0.1276,0.0328
73,04/14/17 02:00:01 PM,-888.880,80.316,0.1285,0.0350
74,04/14/17 03:00:01 PM,-888.880,74.986,0.1297,0.0354
75,04/14/17 04:00:01 PM,-888.880,77.945,0.1312,0.0363
76,04/14/17 05:00:01 PM,-888.880,72.783,0.1317,0.0354
77,04/14/17 06:00:01 PM,-888.880,65.701,0.1321,0.0310
78,04/14/17 07:00:01 PM,-888.880,52.860,0.1321,0.0224
79,04/14/17 08:00:01 PM,-888.880,42.939,0.1317,0.0152
80,04/14/17 09:00:01 PM,-888.880,39.313,0.1307,0.0112
81,04/14/17 10:00:01 PM,-888.880,36.120,0.1302,0.0097
82,04/14/17 11:00:01 PM,-888.880,34.468,0.1302,0.0081
83,04/15/17 12:00:01 AM,-888.880,34.371,0.1285,0.0071
84,04/15/17 01:00:01 AM,-888.880,34.027,0.1285,0.0071
85,04/15/17 02:00:01 AM,-888.880,35.006,0.1276,0.0066
86,04/15/17 03:00:01 AM,-888.880,30.733,0.1276,0.0050
87,04/15/17 04:00:01 AM,-888.880,30.783,0.1271,0.0050
88,04/15/17 05:00:01 AM,-888.880,30.632,0.1266,0.0040
89,04/15/17 06:00:01 AM,-888.880,29.199,0.1266,0.0029
90,04/15/17 07:00:01 AM,-888.880,31.743,0.1266,0.0040
91,04/15/17 08:00:01 AM,-888.880,48.227,0.1261,0.0112
92,04/15/17 09:00:01 AM,-888.880,72.739,0.1261,0.0247
93,04/15/17 10:00:01 AM,-888.880,75.247,0.1261,0.0283
